RouteStart,RouteEnd,llm_generated
EMBU-GUACU (VILA DIRCE),SAO PAULO (TERMINAL GRAJAU),to em embu-guacu (vila dirce) e queria saber como ir do terminal grajau ate sao paulo.
EMBU-GUACU (VILA DIRCE),SAO PAULO (TERMINAL GRAJAU),to em embu-guacu (vila dirce) e quero saber como ir do terminal grajau.
EMBU-GUACU (VILA DIRCE),SAO PAULO (TERMINAL GRAJAU),to em embu-guacu (vila direce) e quero saber como ir para o terminal grajau.
FRANCO DA ROCHA (PARQUE VITORIA),CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO),to no parque vitoria e quero saber como ir para caieiras.
FRANCO DA ROCHA (PARQUE VITORIA),CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO),to no parque vitoria e quero saber como ir para cairias.
FRANCO DA ROCHA (PARQUE VITORIA),CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO),to no parque vitoria e quero ir para caieiras.
GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO ARMENIA),como eu vou do terminal metropolitano taboa para o metro armenia?
GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO ARMENIA),to no guarulhos e quero saber como ir para sao paulo.
GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO ARMENIA),to no guarulhos e quero saber como pegar um taxi pra sao paulo.
CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),como eu chego da carapicuiba (vila dirce) em osasco?
CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),como eu faco pra ir da carapicuiba (vila dirce) para a osasco (vila yara)?
CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),como eu vou da carapicuiba (vila dirce) para a osasco (vila yara)?
CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),como eu vou da carapicuiba (vila dirce) para a osasco (vila yara)?
CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),como eu vou da carapicuiba (vila dirce) para a osasco (vila yara)?
CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),como eu faco pra ir da carapicuiba (vila dirce) para a osasco (vila yara)?
CARAPICUIBA (COHAB V),OSASCO (VILA YARA),como eu chego de carapicuiba (cohab v) em osasco?
CARAPICUIBA (COHAB V),OSASCO (VILA YARA),to em carapicuiba (cohab v) e quero saber como ir para osasco (vila yara).
CARAPICUIBA (COHAB V),OSASCO (VILA YARA),to em carapicuiba (cohab v) e quero ir para osasco (vila yara).
ITAPEVI (JARDIM AMADOR BUENO),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu chego do itapevi (jardim amador bueno) em cotia?
ITAPEVI (JARDIM AMADOR BUENO),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu saio do itapevi (jardim amador bueno) e chego no terminal metropolitano de cotia?
ITAPEVI (JARDIM AMADOR BUENO),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do itapevi ate o terminal metropolitano de cotia?
SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu vou de suzano para mogi das cruzes?
SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu chego de suzano para mogi das cruzes?
SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu vou de suzano para mogi das cruzes?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM TIETE),como eu faco pra ir do terminal metropolitano santo andre-leste para o jardim tiete?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM TIETE),como eu vou do terminal metropolitano santa andre-leste para o jardim tie?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM TIETE),como eu vou do terminal metropolitano santa andre-leste ate o jardim tiete?
SANTO ANDRE (HOSPITAL MARIO COVAS),SAO PAULO (JARDIM TIETE),como eu chego do hospital mario covas em santo andre para sao paulo?
SANTO ANDRE (HOSPITAL MARIO COVAS),SAO PAULO (JARDIM TIETE),to no hospital mario covas em santo andre e quero saber como ir para sao paulo.
SANTO ANDRE (HOSPITAL MARIO COVAS),SAO PAULO (JARDIM TIETE),to no hospital mario covas em santo andre e preciso ir para sao paulo.
JUQUITIBA (BARNABES),ITAPECERICA DA SERRA (VALO VELHO),como eu vou do juquitiba para o itapecerica da serra velho?
JUQUITIBA (BARNABES),ITAPECERICA DA SERRA (VALO VELHO),como eu vou de juquitiba para o itapecerica da serra?
JUQUITIBA (BARNABES),ITAPECERICA DA SERRA (VALO VELHO),como eu vou de juquitiba para o itapecerica da serra velho?
JUQUITIBA (BAIRRO DOS JUSTINOS),ITAPECERICA DA SERRA (VALO VELHO),to na juquiticaba (bairro dos justinos) e quero saber como ir pra itapecerica da serra.
JUQUITIBA (BAIRRO DOS JUSTINOS),ITAPECERICA DA SERRA (VALO VELHO),"como eu vou do juquiliba, bairro dos justinios, ate o itapecerica da serra velho?"
JUQUITIBA (BAIRRO DOS JUSTINOS),ITAPECERICA DA SERRA (VALO VELHO),"como eu faco pra chegar no itapecerica da serra, velho?"
EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO),to em embu-guacu e quero saber como chegar em itapecerica da serra.
EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO),como eu chego de embu-guacu a itapecerca da serra valencia?
EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO),como eu vou de embu-guacu para itapecerica da serra?
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),"to aqui no parque paraiso, e queria saber como ir de aqui para sao paulo."
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),to aqui perto do parque paraiso e quero saber como pegar o metro vila sonia.
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),como eu vou do itapecerica da serra (parque paraiso) ate o metro vila sonia?
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),to na itapecerica da serra (parque paraiso) e quero saber como ir de la para sao paulo.
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do itapecerica da serra (parque paraiso) ate o metro vila sonia?
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),como eu chego do itapecerica da serra (parque paraiso) ate o metro vila sonia?
EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO VILA SONIA),to em embu das artes e quero saber como ir do engoado pra sao paulo.
EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO VILA SONIA),to em engenho velho e quero saber como ir do saulo do estado de embu das artes ate o metro vila sonia.
EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do engenho velho em embu das artes ate o metro vila sonia?
ITAPECERICA DA SERRA (JARDIM SAO MARCOS),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),como eu vou do jardim sao marcos pra jardim das oliveiras?
ITAPECERICA DA SERRA (JARDIM SAO MARCOS),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),como eu vou do jardim sao marcos pra jardim das oliveiras?
ITAPECERICA DA SERRA (JARDIM SAO MARCOS),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),como eu vou do jardim sao marcos para o jardim das oliveiras?
COTIA (MIRANTE DA MATA),SAO PAULO (METRO BUTANTA),como eu vou do cotia (mirante da mata) para o metro butana?
COTIA (MIRANTE DA MATA),SAO PAULO (METRO BUTANTA),como eu vou do cotia (mirante da mata) para o metro butana?
COTIA (MIRANTE DA MATA),SAO PAULO (METRO BUTANTA),como eu vou do cotia (mirante da mata) para o metro butana?
VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),SAO PAULO (METRO MORUMBI),como eu chego do vargem grande paulista (jardim sa marcos) no metro morumbi?
VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),SAO PAULO (METRO MORUMBI),como eu vou do vargem grande paulista (jardim sa marcos) para o metro morumbi?
VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),SAO PAULO (METRO MORUMBI),como eu vou do vargem grande paulista (jardim sa marcos) para o metro morumbi?
EMBU DAS ARTES (JARDIM TOME),SAO PAULO (METRO MORUMBI),como eu faco para ir do embu das artes (jardim tome) para o metro morumbi?
EMBU DAS ARTES (JARDIM TOME),SAO PAULO (METRO MORUMBI),como eu faco pra ir do embu das artes (jardim tome) ate o metro morumbi?
EMBU DAS ARTES (JARDIM TOME),SAO PAULO (METRO MORUMBI),to em embuas artes e quero saber como ir do jardim tome pra sao paulo.
MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),SAO PAULO (METRO ARMENIA),como eu faco pra ir do mogi das cruzes para o metro armenia em sao paulo?
MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),SAO PAULO (METRO ARMENIA),como eu vou de mogi das cruzes para o metro armenia em sao paulo?
MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),SAO PAULO (METRO ARMENIA),to em mogi das cruzes e quero saber como ir de la para sao paulo.
SAO PAULO (SAO MIGUEL PAULISTA),SAO PAULO (METRO ARMENIA),como eu chego do sao paulo (sao miguel paulista) ao sao paulo (metro armenia)?
SAO PAULO (SAO MIGUEL PAULISTA),SAO PAULO (METRO ARMENIA),como eu vou do saogonapelo pra sao paulo?
SAO PAULO (SAO MIGUEL PAULISTA),SAO PAULO (METRO ARMENIA),como eu faco pra ir do saao paulo pra sao paulo?
SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu vou de suzano para mogi das cruzes?
SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu chego de suzano para mogi das cruzes?
SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu vou de suzano para mogi das cruzes?
SANTO ANDRE (PARANAPIACABA),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),como eu vou de santo andre para estacao cptm saladino?
SANTO ANDRE (PARANAPIACABA),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),como eu vou de santo andre para estacao cptm saladino?
SANTO ANDRE (PARANAPIACABA),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),como eu faco pra ir de santo andre para estacao cptm predeco?
SANTO ANDRE (PARQUE ANDREENSE),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),como eu chego do parque andreense ate santo andre?
SANTO ANDRE (PARQUE ANDREENSE),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),como eu chego do parque andreense ate santo andre?
SANTO ANDRE (PARQUE ANDREENSE),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),como eu vou do parque andreense ate santo andre?
RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),como eu chego de rio grande da serra (centro) para riberiao pires?
RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),to em rio grande da serra e quero saber como ir para riberiao pires.
RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),to no rio grande da serra e quero saber como ir para riberiao pires.
MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou de mairipora (divisa) para o terminal rodoviario tiete?
MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO TIETE),"como eu faco pra ir do mairipora (divisa) pra sao paulo, pelo terminal rodoviario tiete?"
MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou de mairipora (divisa) para o terminal rodoviario tiete?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do terminal rodoviario tiete para mairipora?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do terminal rodoviario siguiame aiacyda para o terminal rodoviario tiete?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do terminal rodoviario siguiu aiacyda para sao paulo?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),como eu faco pra ir do terminal rodoviario nicolau delnico em sao caetano do sul para santo andre?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),como eu faco pra ir do terminal rodoviario nicolau delinio ate santo andre?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),como eu faco pra ir do terminal rodoviario nicolau delnico ate santo andre?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (REPRESA),como eu chego do terminal rodoviario nicolau delnico em santo andre?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (REPRESA),como eu faco pra ir do terminal rodoviario nicolau delinio em sao caiato pra santo andre?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (REPRESA),como eu faco pra ir do terminal rodoaviario nicolau delnico em sao caetano do sul?
SANTO ANDRE (VILA PALMARES),SAO PAULO (TAMANDUATEI),to em santo andre e quero saber como ir de sao andre para sao paulo.
SANTO ANDRE (VILA PALMARES),SAO PAULO (TAMANDUATEI),to em santo andre e quero saber como chegar em sao paulo.
SANTO ANDRE (VILA PALMARES),SAO PAULO (TAMANDUATEI),to em santo andre e quero saber como ir de sao andre para sao paulo.
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),FRANCO DA ROCHA (CENTRO),como eu vou da mairipora para o franco da rocha no seguimento do aiacyda?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),FRANCO DA ROCHA (CENTRO),como eu chego do terminal rodoviario siguemi aiacyda ate o franco da rocha central?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),FRANCO DA ROCHA (CENTRO),como eu faco pra ir do terminal rodoviario aiacyda ate o franco da rocha no centro?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE),como eu faco pra ir do terminal metro fernao de mendonca ate o sao paulo?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE),como eu faco pra chegar do terminal ferrohaus do sao bernardo do campo ate o saude?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE),como eu faco pra chegar de sao bernardo do campo no sao paulo?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (CAMPO BELO),como eu chego do terminal metro fernao porta em sao paulo?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (CAMPO BELO),como eu faco para ir do terminal ferrobrasao ate o campo belo?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (CAMPO BELO),como eu vou do terminal metro fernao dias para o campo belo?
DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE),como eu vou de diadema (vila sao jose) para sao paulo (saude)?
DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE),como eu vou de diadema (vila sao jose) para sao paulo (saude)?
DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE),como eu vou de diadema (vila sao jose) para sao paulo (saude)?
OSASCO (JARDIM ELVIRA),SAO PAULO (LAPA),como eu chego do jardim elvira em osasco para sao paulo?
OSASCO (JARDIM ELVIRA),SAO PAULO (LAPA),to em osasco e quero saber como ir do jardim elvira para sao paulo.
OSASCO (JARDIM ELVIRA),SAO PAULO (LAPA),como eu faco pra ir do jardim elvira para sao paulo?
BARUERI (PARQUE IMPERIAL),SAO PAULO (LAPA),como eu vou do barueri (parque imperial) para sao paulo?
BARUERI (PARQUE IMPERIAL),SAO PAULO (LAPA),como eu vou do barueri (parque imperial) para sao paulo?
BARUERI (PARQUE IMPERIAL),SAO PAULO (LAPA),como eu vou do barueri (parque imperial) para sao paulo?
OSASCO (JARDIM COLINAS D OESTE),SAO PAULO (LAPA),como eu vou do jardim colinas oeste para sao paulo?
OSASCO (JARDIM COLINAS D OESTE),SAO PAULO (LAPA),como eu faco pra ir do jardim colinas oeste para sao paulo?
OSASCO (JARDIM COLINAS D OESTE),SAO PAULO (LAPA),como eu faco pra ir do jardim colinas oeste para sao paulo?
CAJAMAR (JORDANESIA),SAO PAULO (LAPA),to em cajemar e quero saber como chegar em sao paulo.
CAJAMAR (JORDANESIA),SAO PAULO (LAPA),como eu vou de cajemar para sao paulo?
CAJAMAR (JORDANESIA),SAO PAULO (LAPA),como eu vou de cajemar para sao paulo?
CAJAMAR (CTE - VILA NOVA),SAO PAULO (LAPA),como eu vou de cajemar pra sao paulo?
CAJAMAR (CTE - VILA NOVA),SAO PAULO (LAPA),como eu vou de cajamar para sao paulo?
CAJAMAR (CTE - VILA NOVA),SAO PAULO (LAPA),como eu vou do cajamar (cte - vila nova) para o sao paulo?
EMBU DAS ARTES (CENTRO),SAO PAULO (METRO CAMPO LIMPO),como eu chego do embu das artes (centro) ate o metro campo limpo?
EMBU DAS ARTES (CENTRO),SAO PAULO (METRO CAMPO LIMPO),to em embuas artes (centro) e quero saber como pegar no metro campo limpo.
EMBU DAS ARTES (CENTRO),SAO PAULO (METRO CAMPO LIMPO),to em embuas artes (centro) e preciso saber como ir para o metro campo limpo.
OSASCO (TERMINAL RODOVIARIO HELENA MARIA),SAO PAULO (PINHEIROS),como eu vou do terminal rodoviario helena maria em sao paulo para o pinheiros?
OSASCO (TERMINAL RODOVIARIO HELENA MARIA),SAO PAULO (PINHEIROS),como eu vou do terminal rodoviario helena maria em sao paulo para o pinheiros?
OSASCO (TERMINAL RODOVIARIO HELENA MARIA),SAO PAULO (PINHEIROS),como eu faco pra ir do terminal rodoviario helena maria em osasco para sao paulo?
OSASCO (CONJUNTO DOS METALURGICOS),SAO PAULO (METRO BUTANTA),como eu vou do osasco (conjunto dos metalurgicos) para o metro butana?
OSASCO (CONJUNTO DOS METALURGICOS),SAO PAULO (METRO BUTANTA),como eu faco pra ir do osasco (conjunto dos metalurgicos) para o metro butana?
OSASCO (CONJUNTO DOS METALURGICOS),SAO PAULO (METRO BUTANTA),como eu faco para ir do osasco (conjunto dos metalurgicos) para sao paulo usando o metro butana?
CARAPICUIBA (JARDIM NOVO HORIZONTE),SAO PAULO (METRO BUTANTA),to em carapicuiba e quero saber como ir para sao paulo.
CARAPICUIBA (JARDIM NOVO HORIZONTE),SAO PAULO (METRO BUTANTA),to em carapicuiba e quero ir pra sao paulo.
CARAPICUIBA (JARDIM NOVO HORIZONTE),SAO PAULO (METRO BUTANTA),to em carapicuiba e quero saber como ir de la para sao paulo.
OSASCO (OLARIA DO NINO),SAO PAULO (METRO BUTANTA),como eu vou do osasco para o metro sao paulo?
OSASCO (OLARIA DO NINO),SAO PAULO (METRO BUTANTA),como eu chego do osasco (olaria do nino) para o metro butana?
OSASCO (OLARIA DO NINO),SAO PAULO (METRO BUTANTA),como eu vou do osasco para o metro butana?
OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO BUTANTA),como eu faco pra ir do jardim santa maria para o metro sao paulo?
OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO BUTANTA),como eu faco para ir do jardim santa maria para o metro butanta?
OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO BUTANTA),como eu faco pra ir do jardim santa maria para o metro butana?
CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (METRO BUTANTA),como eu faco pra ir do carapicuiba ate o sa paulo de trem?
CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (METRO BUTANTA),como eu chego do carapicuiba no sampaopa?
CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (METRO BUTANTA),como eu vou de carapicuiba ate o metro butana?
RIBEIRAO PIRES (OURO FINO PAULISTA),SAO PAULO (TERMINAL SACOMA),to em ribeirao pires e quero saber como ir para o saopaulo.
RIBEIRAO PIRES (OURO FINO PAULISTA),SAO PAULO (TERMINAL SACOMA),to em ribeirao pires e quero ir para o terminal safora.
RIBEIRAO PIRES (OURO FINO PAULISTA),SAO PAULO (TERMINAL SACOMA),to em ribeirao pires e quero saber como ir para o terminal saoma.
RIO GRANDE DA SERRA (SANTA TEREZA),SAO PAULO (TERMINAL SACOMA),to na santa teresa e quero saber como chegar no terminal sacramento.
RIO GRANDE DA SERRA (SANTA TEREZA),SAO PAULO (TERMINAL SACOMA),to em santa teresa e quero saber como ir do terminal sacramento pra sao paulo.
RIO GRANDE DA SERRA (SANTA TEREZA),SAO PAULO (TERMINAL SACOMA),to na santa teresa e quero saber como ir do terminal safora pra sao paulo.
MAUA (JARDIM GUAPITUBA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),como eu vou do maua (jardim guapituuba) para o sao caetano do sul?
MAUA (JARDIM GUAPITUBA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),"como eu chego do maua (jardim guapituuba) em sao caetano do sul, bairro santo antonio?"
MAUA (JARDIM GUAPITUBA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),como eu vou do maua (jardim guanabara) para o sao caetano do sul?
SANTO ANDRE (JARDIM LAS VEGAS),SAO PAULO (TERMINAL SACOMA),to em santo andre (jardim las vegas) e quero saber como ir para o terminal sao paulo.
SANTO ANDRE (JARDIM LAS VEGAS),SAO PAULO (TERMINAL SACOMA),to em santo andre (jardim las vegas) e quero saber como ir para sao paulo.
SANTO ANDRE (JARDIM LAS VEGAS),SAO PAULO (TERMINAL SACOMA),como eu vou do jardim las vegas para o terminal sacramento?
TABOAO DA SERRA (PARQUE LAGUNA),SAO PAULO (METRO VILA SONIA),como eu chego do taboao da serra ao metro vila sonia?
TABOAO DA SERRA (PARQUE LAGUNA),SAO PAULO (METRO VILA SONIA),to no taboao da serra e quero saber como pegar o trem vila sonia do metro.
TABOAO DA SERRA (PARQUE LAGUNA),SAO PAULO (METRO VILA SONIA),to em taboao da serra e quero saber como ir do parque laguna pra sao paulo.
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),como eu chego do terminal metropolitano santa andre ao fabrica trol?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),como eu chego do terminal metropolitano santa andre ao fabricio trol?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),como eu chego do terminal metropolitano santa andre ao fabrica trol?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),como eu chego do terminal metropolitano santa andre ao fabrica trol?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),como eu chego do terminal metropolitano santa andre ao fabricio trol?
SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),como eu vou do terminal metropolitano santa andre ao fabrica trol?
GUARULHOS (NOVA BONSUCESSO),SAO PAULO (SAO MIGUEL PAULISTA),como eu chego de guarulhos (nova bonsucesso) a sao paulo?
GUARULHOS (NOVA BONSUCESSO),SAO PAULO (SAO MIGUEL PAULISTA),como eu faco pra ir do novo bonsucesso para sao paulo?
