RouteCode,RouteStart,RouteEnd
036BI1,EMBU DAS ARTES (JARDIM TOME),SAO PAULO (METRO MORUMBI)
38,MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),SAO PAULO (METRO ARMENIA)
038VP1,SAO PAULO (SAO MIGUEL PAULISTA),SAO PAULO (METRO ARMENIA)
39,SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
40,SANTO ANDRE (PARANAPIACABA),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO)
040EX1,SANTO ANDRE (PARQUE ANDREENSE),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO)
41,RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES)
42,MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO TIETE)
042VP1,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE)
43,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA)
043BI1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (REPRESA)
47,SANTO ANDRE (VILA PALMARES),SAO PAULO (TAMANDUATEI)
49,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),FRANCO DA ROCHA (CENTRO)
50,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE)
050EX1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (CAMPO BELO)
51,DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE)
52,OSASCO (JARDIM ELVIRA),SAO PAULO (LAPA)
53,BARUERI (PARQUE IMPERIAL),SAO PAULO (LAPA)
053BI1,OSASCO (JARDIM COLINAS D OESTE),SAO PAULO (LAPA)
54,CAJAMAR (JORDANESIA),SAO PAULO (LAPA)
55,CAJAMAR (CTE - VILA NOVA),SAO PAULO (LAPA)
56,EMBU DAS ARTES (CENTRO),SAO PAULO (METRO CAMPO LIMPO)
58,OSASCO (TERMINAL RODOVIARIO HELENA MARIA),SAO PAULO (PINHEIROS)
59,OSASCO (CONJUNTO DOS METALURGICOS),SAO PAULO (METRO BUTANTA)
059PR1,CARAPICUIBA (JARDIM NOVO HORIZONTE),SAO PAULO (METRO BUTANTA)
60,OSASCO (OLARIA DO NINO),SAO PAULO (METRO BUTANTA)
060BI1,OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO BUTANTA)
61,CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (METRO BUTANTA)
63,RIBEIRAO PIRES (OURO FINO PAULISTA),SAO PAULO (TERMINAL SACOMA)
063EX1,RIO GRANDE DA SERRA (SANTA TEREZA),SAO PAULO (TERMINAL SACOMA)
64,MAUA (JARDIM GUAPITUBA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO)
66,SANTO ANDRE (JARDIM LAS VEGAS),SAO PAULO (TERMINAL SACOMA)
68,TABOAO DA SERRA (PARQUE LAGUNA),SAO PAULO (METRO VILA SONIA)
69,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL)
70,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL)
73,GUARULHOS (NOVA BONSUCESSO),SAO PAULO (SAO MIGUEL PAULISTA)
75,ARUJA (PARQUE RODRIGO BARRETO),SAO PAULO (SAO MIGUEL PAULISTA)
76,ITAQUAQUECETUBA (TERMINAL URBANO ENGENHEIRO MANOEL FEIO),SAO PAULO (METRO BRAS)
77,GUARULHOS (VILA ANY),SAO PAULO (METRO BRAS)
78,EMBU DAS ARTES (PARQUE PIRAJUSSARA),SAO PAULO (METRO VILA SONIA)
79,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO VILA SONIA)
80,OSASCO (JARDIM BONANCA),SAO PAULO (PINHEIROS)
82,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),OSASCO (VILA YARA)
082BI1,PIRAPORA DO BOM JESUS (IGAVETA),OSASCO (VILA YARA)
082DV1,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),OSASCO (VILA YARA)
84,FRANCO DA ROCHA (PARQUE VITORIA),FRANCISCO MORATO (CENTRO)
85,SANTANA DE PARNAIBA (PARQUE SANTANA),SAO PAULO (LAPA)
085VP1,SANTANA DE PARNAIBA (PARQUE SANTANA),OSASCO (ESTACAO)
86,OSASCO (JARDIM VELOSO),SAO PAULO (LAPA)
086PR1,CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (LAPA)
87,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (METRO ITAQUERA)
88,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (ESTACAO CPTM  ITAIM PAULISTA)
89,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO VILA SONIA)
90,EMBU DAS ARTES (TERMINAL CASA BRANCA),SAO PAULO (METRO VILA SONIA)
91,SAO LOURENCO DA SERRA (VILA RITA SOARES),ITAPECERICA DA SERRA (PARQUE PARAISO)
93,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO),SAO PAULO (METRO CARRAO)
94,GUARULHOS (COCAIA),SAO PAULO (PENHA)
95,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO BRAS)
96,GUARULHOS (HAROLDO VELOSO),SAO PAULO (METRO BRAS)
100,GUARULHOS (PARQUE PRIMAVERA),SAO PAULO (PENHA)
100BI1,GUARULHOS (JARDIM DOS EUCALIPTOS),SAO PAULO (PENHA)
101,SAO CAETANO DO SUL (VILA PROSPERIDADE),SAO PAULO (VILA DAS OLARIAS)
102,SAO CAETANO DO SUL (BAIRRO FUNDACAO),SAO PAULO (IV CENTENARIO)
103,GUARULHOS (PARQUE CONTINENTAL),SAO PAULO (METRO PARADA INGLESA)
104,GUARULHOS (BOM CLIMA),SAO PAULO (METRO TUCURUVI)
105,GUARULHOS (JARDIM MOREIRA),SAO PAULO (METRO TUCURUVI)
107,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM ESTHER)
110,GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI)
111,GUARULHOS (JARDIM LEDA),SAO PAULO (METRO PARADA INGLESA)
112,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (SANTO AMARO)
113,OSASCO (JARDIM SANTA FE),SAO PAULO (LAPA)
114,FERRAZ DE VASCONCELOS (PARQUE SAO FRANCISCO),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
115,ARUJA (CENTRO),GUARULHOS (JARDIM SANTA MENA)
116,BARUERI (CENTRO),SAO PAULO (METRO ARMENIA)
117,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SANTO ANDRE (ELCLOR)
120,CAJAMAR (VAU NOVO),SAO PAULO  (PERUS)
120PR1,CAJAMAR (LAGO AZUL),SAO PAULO (PERUS)
121,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (PENHA)
122,BARUERI (PETROBRAS),OSASCO (VILA YARA)
123,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO PAULO (TERMINAL SACOMA)
124,EMBU DAS ARTES (JARDIM SANTO EDUARDO),SAO PAULO (METRO VILA SONIA)
125,EMBU DAS ARTES (JARDIM SAO MARCOS),SAO PAULO (METRO VILA SONIA)
125BI1,EMBU DAS ARTES (JARDIM NOSSA SENHORA DE FATIMA),SAO PAULO (METRO VILA SONIA)
128,EMBU DAS ARTES (JARDIM DO COLEGIO),SAO PAULO (METRO VILA SONIA)
130,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),OSASCO (VILA YARA)
133,ITAPEVI (COHAB/JARDIM PAULISTA),OSASCO (VILA YARA)
133BI1,ITAPEVI (VILA GIOIA),OSASCO (VILA YARA)
134,BARUERI (PARQUE VIANA),OSASCO (CENTRO)
137,GUARULHOS (JARDIM FORTALEZA),SAO PAULO (METRO ARMENIA)
138,OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO VILA MADALENA)
139,SAO PAULO (SAO MIGUEL PAULISTA),GUARULHOS (TERMINAL METROPOLITANO CECAP)
140,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE)
141,SANTA ISABEL (MONTE SERRAT),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
145,SUZANO (CIDADE EDSON),SAO PAULO (ESTACAO CPTM ITAIM PAULISTA)
147,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO BERNARDO DO CAMPO (JARDIM JOAO DE BARRO)
148,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO BERNARDO DO CAMPO (JARDIM LEBLON)
148EX1,SAO BERNARDO DO CAMPO (UFABC),SAO BERNARDO DO CAMPO (AVENIDA KENNEDY)
149,SAO CAETANO DO SUL (TERMINAL RODOVIARIO DOUTOR NICOLAU DELIC),SAO BERNARDO DO CAMPO (VILA SAO JOSE)
151,SANTO ANDRE (JARDIM CAMBUI),SAO PAULO (FABRICA TROL)
152,SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL SACOMA)
153,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL SACOMA)
154,SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA)
156,DIADEMA (ELDORADO),SAO BERNARDO DO CAMPO (BAETA NEVES)
156BI1,DIADEMA (ELDORADO),SAO BERNARDO DO CAMPO (BAETA NEVES)
156VP1,DIADEMA (ELDORADO),SAO BERNARDO DO CAMPO (PACO MUNICIPAL)
157,MAUA (SILVIA MARIA),SANTO ANDRE (TERMINAL URBANO DE PREFEITO SALADINO)
158,MAUA (JARDIM ZAIRA),SAO PAULO (TERMINAL SACOMA)
158BI1,MAUA (JARDIM ZAIRA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO)
160,MAUA (JARDIM ADELINA),SAO PAULO (TERMINAL SACOMA)
160EX1,MAUA  (JARDIM ITAPEVA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO)
163,GUARULHOS (JD. PALMIRA - PARQUE CONTINENTAL),SAO PAULO (METRO TUCURUVI)
165,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO)
165BI1,SANTO ANDRE (PARQUE REPRESA BILLINGS),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO)
165EX1,RIO GRANDE DA SERRA (CENTRO),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO)
166,ARUJA (CENTRO),SAO PAULO (METRO ARMENIA)
166BI1,GUARULHOS (JARDIM ALAMO),SAO PAULO (METRO ARMENIA)
167,GUARULHOS (VILA CARMELA),SAO PAULO (METRO ARMENIA)
167PR1,GUARULHOS (PARQUE RESIDENCIAL BAMBI),SAO PAULO (METRO ARMENIA)
170,SAO CAETANO DO SUL (ESTACAO),SAO PAULO (JARDIM TIETE)
171,SAO CAETANO DO SUL (ESTACAO),SAO PAULO (VILA INDUSTRIAL)
173,SANTO ANDRE (JARDIM SANTA CRISTINA),SAO PAULO (JARDIM PLANALTO)
175,GUARULHOS (COCAIA),SAO PAULO (METRO ARMENIA)
177,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE)
178,EMBU DAS ARTES (JARDIM VAZAME),SAO PAULO (METRO CAMPO LIMPO)
178BI1,EMBU DAS ARTES (JARDIM NOSSA SENHORA DE FATIMA),SAO PAULO (METRO CAMPO LIMPO)
180,OSASCO (JARDIM PRIMEIRO DE MAIO),SAO PAULO (LAPA)
180DV1,OSASCO (JARDIM PRIMEIRO DE MAIO),SAO PAULO (LAPA)
180DV2,OSASCO (JARDIM PRIMEIRO DE MAIO),SAO PAULO (LAPA)
181,CARAPICUIBA (PARQUE SANTA TEREZA),SAO PAULO (LAPA)
182,SAO BERNARDO DO CAMPO (ACAMPAMENTO DOS ENGENHEIROS),DIADEMA (TERMINAL METROPOLITANO DIADEMA)
187,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (CAMPOS ELISEOS)
190,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO BUTANTA)
191,TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO VILA SONIA)
193,EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO)
194,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA)
195,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA)
196,SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE)
197,FRANCISCO MORATO (PARQUE PAULISTA),SAO PAULO (LAPA)
198,CAIEIRAS (LARANJEIRAS),SAO PAULO (LAPA)
199,FRANCO DA ROCHA (JARDIM LUCIANA),SAO PAULO (PERUS)
200,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE)
201,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE)
202,OSASCO (JARDIM ADALGISA),SAO PAULO (PIRITUBA)
203,OSASCO (BEL JARDIM),SAO PAULO (LAPA)
204,OSASCO (MUNHOZ JUNIOR),SAO PAULO (LAPA)
206,GUARAREMA (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE)
208,GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE)
210,BIRITIBA MIRIM (CASA GRANDE),MOGI DAS CRUZES (CENTRO)
211,OSASCO (VILA MENCK),SAO PAULO (PINHEIROS)
212,DIADEMA (JARDIM SAPOPEMA),SAO PAULO (TERMINAL SACOMA)
213,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),OSASCO (CENTRO)
214,SUZANO (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE)
214VP1,ITAQUAQUECETUBA (RANCHO GRANDE),SAO PAULO (TERMINAL RODOVIARIO TIETE)
215,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (CENTRO)
216,FRANCISCO MORATO (JARDIM DA ALEGRIA),FRANCO DA ROCHA (CENTRO)
217,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL RODOVIARIO TIETE)
218,SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL RODOVIARIO TIETE)
218EX1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO)
218EX2,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO)
219,SANTA ISABEL (MONTE SERRAT),SAO PAULO (METRO ARMENIA)
219BI1,SANTA ISABEL (MONTE SERRAT),GUARULHOS (CENTRO)
223,CARAPICUIBA (COHAB V),OSASCO (VILA YARA)
226,EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (TERMINAL GRAJAU)
227,GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA)
227DV1,GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA)
228,BARUERI (ALPHAVILLE 3 / BRADESCO),SAO PAULO (LAPA)
229,OSASCO (JARDIM ACUCARA),SAO PAULO (LAPA)
230,BARUERI (ALPHAVILLE),OSASCO (VILA YARA)
231,OSASCO (JARDIM ELVIRA),SAO PAULO (METRO ARMENIA)
231BI1,OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO ARMENIA)
236,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL SACOMA)
237,ITAPECERICA DA SERRA (JARDIM SAO PEDRO),SAO PAULO (METRO CAPAO REDONDO)
238,SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE)
239,ITAPECERICA DA SERRA (JARDIM SAO MARCOS),COTIA (TERMINAL METROPOLITANO COTIA)
240,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE)
241,TABOAO DA SERRA (PARQUE JACARANDA),SAO PAULO (METRO VILA SONIA)
242,ITAQUAQUECETUBA (JARDIM PINHEIRINHO),SAO PAULO (METRO CARRAO)
242BI1,ITAQUAQUECETUBA (PEQUENO CORACAO),SAO PAULO (METRO CARRAO)
243,SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE)
243DV1,SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE)
244,OSASCO (CENTRO),COTIA (RODOVIA RAPOSO TAVARES - KM 21)
244BI1,OSASCO (VILA YARA),COTIA (RODOVIA RAPOSO TAVARES SP-270 - KM 21)
244VP1,OSASCO (CIDADE DE DEUS),COTIA (RODOVIA RAPOSO TAVARES - SP 270 - KM 21)
245,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO CAMPO LIMPO)
246,SANTANA DE PARNAIBA (JARDIM SAO LUIS),OSASCO (VILA YARA)
246BI1,SANTANA DE PARNAIBA (REFUGIO DOS BANDEIRANTES),OSASCO (VILA YARA)
247,BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA)
247VP1,JANDIRA (JARDIM ALVORADA),COTIA (TERMINAL METROPOLITANO DE COTIA)
247VP2,BARUERI (ALDEIA DA SERRA),COTIA  (JARDIM ROSEMARY)
248,GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO PENHA)
249,GUARULHOS (JARDIM PAULISTA),SAO PAULO (METRO PENHA)
250,GUARULHOS (COCAIA),SAO PAULO (METRO PENHA)
252,GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO)
253,GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA)
254,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),DIADEMA (TERMINAL METROPOLITANO DIADEMA)
254DV1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),DIADEMA (TERMINAL METROPOLITANO DIADEMA)
255,DIADEMA (JARDIM PADRE ANCHIETA),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO)
256,COTIA (CAUCAIA DO ALTO),COTIA (PORTAO)
257,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (METRO TATUAPE)
258,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (AEROPORTO DE CONGONHAS)
260,BARUERI (ALPHAVILLE),COTIA (KM 30 RODOVIA RAPOSO TAVARES)
260EX1,BARUERI (ALPHAVILLE),COTIA (KM 30 RODOVIA RAPOSO TAVARES)
261,SANTANA DE PARNAIBA (VARZEA DE SOUZA),SAO PAULO (LAPA)
262,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (ARTUR ALVIM)
263,CARAPICUIBA (JARDIM NOVO HORIZONTE),OSASCO (VILA YARA)
264,SANTANA DE PARNAIBA (PARQUE SANTANA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
264BI1,BARUERI (JARDIM CALIFORNIA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
265,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE,LESTE) - SP (CONJUNTO HABITACIONAL TEOTONIO VILELA)
266,GUARULHOS (INOCOOP),SAO PAULO (METRO ARMENIA)
266DV1,GUARULHOS (INOCOOP),SAO PAULO (METRO ARMENIA)
269,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (METRO CORINTHIANS-ITAQUERA)
272,EMBU DAS ARTES (TERMINAL CASA BRANCA),SAO PAULO (METRO VILA SONIA)
273,SUZANO (CENTRO),ARUJA (PARQUE RODRIGO BARRETO)
277,SANTA ISABEL (MONTE SERRAT),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
278,OSASCO (CENTRO),GUARULHOS (TERMINAL URBANO GUARULHOS)
279,DIADEMA (TERMINAL METROPOLITANO DE DIADEMA),SAO PAULO (METRO SAO JUDAS)
280,OSASCO (CENTRO),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO)
280BI1,SAO PAULO (CIDADE UNIVERSITARIA),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO)
281,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (PEDRA BRANCA)
283,CARAPICUIBA (CIDADE ARISTON),OSASCO (VILA YARA)
283VP1,CARAPICUIBA (CIDADE ARISTON),OSASCO (CENTRO)
284,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS),SANTO ANDRE(TERMINAL METROPOLITANO SANTO ANDRE OESTE)
284M,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS),SAO BERNARDO DO CAMPO (SHOPPING METROPOLE)
285,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS),SAO BERNARDO DO CAMPO  (TERMINAL METROPOLITANO FERRAZOPOLIS)
286,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS)
287,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),DIADEMA (TERMINAL METROPOLITANO DIADEMA)
287PIR,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA)
287UBUS,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),DIADEMA (TERMINAL METROPOLITANO DIADEMA)
288,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (TERMINAL METROPOLITANO JABAQUARA)
288PIR,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA)
289,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL METROPOLITANO JABAQUARA)
290,DIADEMA (TERMINAL METROPOLITANO DIADEMA),SAO PAULO (TERMINAL METROPOLITANO JABAQUARA)
291,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
291BI1,ITAPEVI (JARDIM BELA VISTA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
292,GUARULHOS (JARDIM ANGELICA),SAO PAULO (METRO ARMENIA)
292DV1,GUARULHOS (JARDIM ANGELICA),SAO PAULO (METRO ARMENIA)
293,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (ESTACAO CPTM GUAIANAZES)
297,COTIA (CAUCAIA DO ALTO),SAO PAULO (METRO MORUMBI)
300,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO VILA SONIA)
302,ITAQUAQUECETUBA (TERMINAL URBANO ENGENHEIRO MANOEL FEIO),ITAQUAQUECETUBA (JARDIM PINHEIRINHO)
303,BARUERI (PARQUE IMPERIAL),OSASCO (VILA YARA)
305,DIADEMA (JARDIM PADRE ANCHIETA),SAO BERNARDO DO CAMPO (JARDIM DO LAGO)
307,CARAPICUIBA (TERMINAL METROPOLITANO CARAPICUIBA),COTIA (KM 24 - RODOVIA RAPOSO TAVARES)
308,COTIA (ATALAIA),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
309,SANTANA DE PARNAIBA (PARQUE SANTANA),SAO PAULO (PINHEIROS)
310,SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),SAO PAULO (LAPA)
311,SALESOPOLIS (TREVO DA PETROBRAS),MOGI DAS CRUZES (CENTRO)
311DV1,SALESOPOLIS (TREVO DA PETROBRAS),MOGI DAS CRUZES (CENTRO)
312,SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),SANTANA DE PARNAIBA (CENTRO)
