test_case,task,expected,predicted,confidence,source,is_correct
"Saindo de Paulínia, qual ônibus devo pegar para chegar no Aeroporto?",intent_classification,solicitar_rota,solicitar_rota,0.9943942609056114,svm,True
Como vou de Terminal A até Terminal B em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.9946953687962191,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Qual o caminho de ônibus de Terminal A até Terminal B em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9946271384536788,svm,True
Qual o caminho de ônibus de Sumaré até Aeroporto em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9958210894477824,svm,True
Qual o caminho de ônibus de Hortolândia até Hospital Municipal em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9966545072564319,svm,True
"Preciso de uma rota de Paulínia para Shopping em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.993475458639015,svm,True
Estou testando,intent_classification,conversacao_geral,conversacao_geral,0.9955762642253894,svm,True
Tudo certo?,intent_classification,conversacao_geral,conversacao_geral,0.98223917315892,svm,True
Quero comprar um carro,intent_classification,desconhecido,desconhecido,0.9943936616612331,svm,True
"Preciso de uma rota de Hortolândia para Rodoviária em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9963867789323865,svm,True
Qual o preço do dólar hoje?,intent_classification,desconhecido,desconhecido,0.9942332604197489,svm,True
Você pode me ajudar?,intent_classification,conversacao_geral,conversacao_geral,0.995643661107929,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Valeu,intent_classification,conversacao_geral,conversacao_geral,0.9955611380745285,svm,True
Qual o caminho de ônibus de Vila Nova até Campinas em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9911139046346608,svm,True
Abre o navegador,intent_classification,desconhecido,desconhecido,0.9935427517869101,svm,True
Qual o ônibus que sai de Parque das Flores e vai para Campinas em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9917143400529523,svm,True
Qual o resultado do jogo do Brasil?,intent_classification,desconhecido,desconhecido,0.9944187690787376,svm,True
Informação do app não confere,intent_classification,feedback,feedback,0.9945393737493552,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
Qual o preço do dólar hoje?,intent_classification,desconhecido,desconhecido,0.9942332604197489,svm,True
Motorista foi educado,intent_classification,feedback,feedback,0.9945629136094304,svm,True
Como vou de Parque das Flores até Campinas em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.9906518058482231,svm,True
Preciso ir de Sumaré até Terminal B em Campinas. Qual linha pegar?,intent_classification,solicitar_rota,solicitar_rota,0.9975422244285091,svm,True
Motorista foi educado,intent_classification,feedback,feedback,0.9945629136094304,svm,True
"Saindo de Parque das Flores, qual ônibus devo pegar para chegar no Terminal B?",intent_classification,solicitar_rota,solicitar_rota,0.9943544193740097,svm,True
"Estou em Paulínia, quero ir para Praça Matriz em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9936248412829237,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
Aplicativo travando,intent_classification,feedback,feedback,0.9840715301807174,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
Obrigado!,intent_classification,conversacao_geral,conversacao_geral,0.9955254074425935,svm,True
"Saindo de Vila Nova, qual ônibus pego para chegar em Campinas em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9924171489802326,svm,True
Boa tarde,intent_classification,conversacao_geral,conversacao_geral,0.995404152234563,svm,True
Mostre notícias de tecnologia,intent_classification,desconhecido,desconhecido,0.9943646509956409,svm,True
Agenda uma reunião amanhã,intent_classification,desconhecido,desconhecido,0.994037224372577,svm,True
Você é um assistente?,intent_classification,conversacao_geral,conversacao_geral,0.9960287065783217,svm,True
"Estou no bairro Hortolândia, quero chegar no Shopping em Campinas, qual é a rota?",intent_classification,solicitar_rota,solicitar_rota,0.9870087107470105,svm,True
"Saindo de Paulínia, qual ônibus pego para chegar em Shopping em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9948943717655799,svm,True
Instale esse programa,intent_classification,desconhecido,desconhecido,0.9943567343815678,svm,True
Me mostra a previsão do tempo de Paris,intent_classification,desconhecido,desconhecido,0.9944090977385359,svm,True
Traduza isto para francês,intent_classification,desconhecido,desconhecido,0.9939856086758008,svm,True
Como fazer bolo de cenoura?,intent_classification,desconhecido,desconhecido,0.994267260754445,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
Oi,intent_classification,conversacao_geral,conversacao_geral,0.966327799424645,svm,True
Informação do app não confere,intent_classification,feedback,feedback,0.9945393737493552,svm,True
Não entendi,intent_classification,conversacao_geral,conversacao_geral,0.9953730696115469,svm,True
Estou testando o sistema,intent_classification,conversacao_geral,conversacao_geral,0.9899635365478865,svm,True
"Saindo de Parque das Flores, qual ônibus pego para chegar em Shopping em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9953923671340702,svm,True
Qual a senha do Wi-Fi?,intent_classification,desconhecido,desconhecido,0.9941242776182205,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
Qual a capital da Noruega?,intent_classification,desconhecido,desconhecido,0.9942914081555113,svm,True
Me ligue mais tarde,intent_classification,desconhecido,desconhecido,0.9941439444813126,svm,True
"Estou em Parque das Flores, quero ir para Hospital Municipal em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9955930096457603,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Qual a capital da Noruega?,intent_classification,desconhecido,desconhecido,0.9942914081555113,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Boa tarde,intent_classification,conversacao_geral,conversacao_geral,0.995404152234563,svm,True
"Estou no bairro Vila Nova, quero chegar no Hospital Municipal em Campinas, qual é a rota?",intent_classification,solicitar_rota,solicitar_rota,0.9942706286558519,svm,True
Qual a capital da Noruega?,intent_classification,desconhecido,desconhecido,0.9942914081555113,svm,True
Abre o navegador,intent_classification,desconhecido,desconhecido,0.9935427517869101,svm,True
"Preciso de uma rota de Paulínia para Praça Matriz em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9959065348943948,svm,True
Bom dia,intent_classification,conversacao_geral,conversacao_geral,0.9850082925676289,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
"Estou em Vila Nova, quero ir para Rodoviária em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.992895023114361,svm,True
Preciso ir de Sumaré até Rodoviária em Campinas. Qual linha pegar?,intent_classification,solicitar_rota,solicitar_rota,0.997595733799244,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
Aplicativo travando,intent_classification,feedback,feedback,0.9840715301807174,svm,True
Boa noite,intent_classification,conversacao_geral,conversacao_geral,0.9814878684484581,svm,True
"Estou em Centro, quero ir para Rodoviária em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9946182428878546,svm,True
"Estou em Vila Nova, quero ir para Hospital Municipal em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9941200830546527,svm,True
"Olá, tudo bem?",intent_classification,conversacao_geral,conversacao_geral,0.995459468152759,svm,True
Quem ganhou o Oscar?,intent_classification,desconhecido,desconhecido,0.993718969719786,svm,True
"Estou em Sumaré, quero ir para Aeroporto em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9932358536424353,svm,True
Me ligue mais tarde,intent_classification,desconhecido,desconhecido,0.9941439444813126,svm,True
Como funciona você?,intent_classification,conversacao_geral,conversacao_geral,0.9951041777974744,svm,True
Preciso ir de Paulínia até Universidade em Campinas. Qual linha pegar?,intent_classification,solicitar_rota,solicitar_rota,0.997821176939547,svm,True
Você é um assistente?,intent_classification,conversacao_geral,conversacao_geral,0.9960287065783217,svm,True
"Saindo de Sumaré, qual ônibus devo pegar para chegar no Terminal B?",intent_classification,solicitar_rota,solicitar_rota,0.9929078732230937,svm,True
"Preciso de uma rota de Hortolândia para Universidade em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9964690488690069,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Não entendi,intent_classification,conversacao_geral,conversacao_geral,0.9953730696115469,svm,True
Qual o preço do dólar hoje?,intent_classification,desconhecido,desconhecido,0.9942332604197489,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Gostei do atendimento,intent_classification,feedback,feedback,0.9942434871774202,svm,True
Quem é você?,intent_classification,conversacao_geral,conversacao_geral,0.9956357413120318,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Valeu,intent_classification,conversacao_geral,conversacao_geral,0.9955611380745285,svm,True
Pode explicar como usar?,intent_classification,conversacao_geral,conversacao_geral,0.9956145410359206,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
Rota mudou sem aviso,intent_classification,feedback,feedback,0.9943586207862244,svm,True
Como investir em ações?,intent_classification,desconhecido,desconhecido,0.9943464671199957,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Tudo certo?,intent_classification,conversacao_geral,conversacao_geral,0.98223917315892,svm,True
Qual seu nome?,intent_classification,conversacao_geral,conversacao_geral,0.9955118632437792,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
Como vou de Centro até Praça Matriz em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.9959446474707329,svm,True
"Preciso de uma rota de Jardim Amanda para Praça Matriz em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9929901165860455,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
Instale esse programa,intent_classification,desconhecido,desconhecido,0.9943567343815678,svm,True
Qual o preço do dólar hoje?,intent_classification,desconhecido,desconhecido,0.9942332604197489,svm,True
Motorista foi educado,intent_classification,feedback,feedback,0.9945629136094304,svm,True
Qual o resultado do jogo do Brasil?,intent_classification,desconhecido,desconhecido,0.9944187690787376,svm,True
Qual a senha do Wi-Fi?,intent_classification,desconhecido,desconhecido,0.9941242776182205,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
"Estou em Paulínia e quero ir até Praça Matriz, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9916713075085251,svm,True
Quem é você?,intent_classification,conversacao_geral,conversacao_geral,0.9956357413120318,svm,True
Abre o navegador,intent_classification,desconhecido,desconhecido,0.9935427517869101,svm,True
Oi,intent_classification,conversacao_geral,conversacao_geral,0.966327799424645,svm,True
"Saindo de Sumaré, qual ônibus devo pegar para chegar no Shopping?",intent_classification,solicitar_rota,solicitar_rota,0.9883398061280101,svm,True
Como funciona você?,intent_classification,conversacao_geral,conversacao_geral,0.9951041777974744,svm,True
Qual a capital da Noruega?,intent_classification,desconhecido,desconhecido,0.9942914081555113,svm,True
Ar-condicionado não estava funcionando,intent_classification,feedback,feedback,0.9944543142590545,svm,True
Como funciona você?,intent_classification,conversacao_geral,conversacao_geral,0.9951041777974744,svm,True
Preciso ir de Vila Nova até Campinas em Campinas. Qual linha pegar?,intent_classification,solicitar_rota,solicitar_rota,0.9945311076408108,svm,True
Boa tarde,intent_classification,conversacao_geral,conversacao_geral,0.995404152234563,svm,True
"Estou em Hortolândia, quero ir para Hospital Municipal em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9937987450115736,svm,True
vc joga?,intent_classification,desconhecido,desconhecido,0.9940110241114777,svm,True
Pode conversar comigo?,intent_classification,conversacao_geral,conversacao_geral,0.9955680958216014,svm,True
pode tocar musica,intent_classification,desconhecido,desconhecido,0.9942403077297935,svm,True
Pode conversar comigo?,intent_classification,conversacao_geral,conversacao_geral,0.9955680958216014,svm,True
Bom dia,intent_classification,conversacao_geral,conversacao_geral,0.9850082925676289,svm,True
Preciso ir de Hortolândia até Praça Matriz em Campinas. Qual linha pegar?,intent_classification,solicitar_rota,solicitar_rota,0.9979012650664857,svm,True
Qual o ônibus que sai de Jardim Amanda e vai para Terminal B em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9941591587555608,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
Banco quebrado no fundo,intent_classification,feedback,feedback,0.9944642930157938,svm,True
"Saindo de Paulínia, qual ônibus devo pegar para chegar no Terminal B?",intent_classification,solicitar_rota,solicitar_rota,0.9935326190235706,svm,True
vc joga?,intent_classification,desconhecido,desconhecido,0.9940110241114777,svm,True
Traduza isto para francês,intent_classification,desconhecido,desconhecido,0.9939856086758008,svm,True
Preciso ir de Centro até Hospital Municipal em Campinas. Qual linha pegar?,intent_classification,solicitar_rota,solicitar_rota,0.9981480977432775,svm,True
asdfghjk,intent_classification,desconhecido,desconhecido,0.9941530863017872,svm,True
vc joga?,intent_classification,desconhecido,desconhecido,0.9940110241114777,svm,True
"Olá, tudo bem?",intent_classification,conversacao_geral,conversacao_geral,0.995459468152759,svm,True
Aplicativo travando,intent_classification,feedback,feedback,0.9840715301807174,svm,True
Mostre notícias de tecnologia,intent_classification,desconhecido,desconhecido,0.9943646509956409,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Você pode me ajudar?,intent_classification,conversacao_geral,conversacao_geral,0.995643661107929,svm,True
Qual seu nome?,intent_classification,conversacao_geral,conversacao_geral,0.9955118632437792,svm,True
"Preciso de uma rota de Vila Nova para Rodoviária em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9960510269832753,svm,True
Valeu,intent_classification,conversacao_geral,conversacao_geral,0.9955611380745285,svm,True
"Estou em Parque das Flores, quero ir para Shopping em Campinas. Como faço?",intent_classification,solicitar_rota,solicitar_rota,0.9899241766465167,svm,True
Como investir em ações?,intent_classification,desconhecido,desconhecido,0.9943464671199957,svm,True
Estou testando o sistema,intent_classification,conversacao_geral,conversacao_geral,0.9899635365478865,svm,True
Quero comprar um carro,intent_classification,desconhecido,desconhecido,0.9943936616612331,svm,True
"Preciso de uma rota de Sumaré para Rodoviária em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9958698909809174,svm,True
"Estou no bairro Parque das Flores, quero chegar no Universidade em Campinas, qual é a rota?",intent_classification,solicitar_rota,solicitar_rota,0.9947800030018703,svm,True
"Saindo de Parque das Flores, qual ônibus pego para chegar em Shopping em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9953923671340702,svm,True
Traduza isto para francês,intent_classification,desconhecido,desconhecido,0.9939856086758008,svm,True
Banco quebrado no fundo,intent_classification,feedback,feedback,0.9944642930157938,svm,True
Obrigado!,intent_classification,conversacao_geral,conversacao_geral,0.9955254074425935,svm,True
Qual o ônibus que sai de Hortolândia e vai para Hospital Municipal em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9968103552658553,svm,True
Banco quebrado no fundo,intent_classification,feedback,feedback,0.9944642930157938,svm,True
Qual seu nome?,intent_classification,conversacao_geral,conversacao_geral,0.9955118632437792,svm,True
"Preciso de uma rota de Centro para Universidade em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9958666072558947,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
Qual a capital da Noruega?,intent_classification,desconhecido,desconhecido,0.9942914081555113,svm,True
"Saindo de Terminal A, qual ônibus devo pegar para chegar no Praça Matriz?",intent_classification,solicitar_rota,solicitar_rota,0.9941064021955291,svm,True
Quem ganhou o Oscar?,intent_classification,desconhecido,desconhecido,0.993718969719786,svm,True
Rota mudou sem aviso,intent_classification,feedback,feedback,0.9943586207862244,svm,True
"Estou em Hortolândia e quero ir até Praça Matriz, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9914141201696426,svm,True
Banco quebrado no fundo,intent_classification,feedback,feedback,0.9944642930157938,svm,True
Não entendi,intent_classification,conversacao_geral,conversacao_geral,0.9953730696115469,svm,True
Como vou de Centro até Campinas em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.990687170881559,svm,True
sudo apt-get install algo,intent_classification,desconhecido,desconhecido,0.9943047061159899,svm,True
Estou testando,intent_classification,conversacao_geral,conversacao_geral,0.9955762642253894,svm,True
Gostei do atendimento,intent_classification,feedback,feedback,0.9942434871774202,svm,True
Boa noite,intent_classification,conversacao_geral,conversacao_geral,0.9814878684484581,svm,True
Estou testando o sistema,intent_classification,conversacao_geral,conversacao_geral,0.9899635365478865,svm,True
Qual o caminho de ônibus de Jardim Amanda até Universidade em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9932490541449255,svm,True
E aí?,intent_classification,conversacao_geral,conversacao_geral,0.9955904140051345,svm,True
Valeu,intent_classification,conversacao_geral,conversacao_geral,0.9955611380745285,svm,True
Obrigado!,intent_classification,conversacao_geral,conversacao_geral,0.9955254074425935,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
E aí?,intent_classification,conversacao_geral,conversacao_geral,0.9955904140051345,svm,True
O ônibus atrasou 15 minutos,intent_classification,feedback,feedback,0.9962431213461435,svm,True
"Saindo de Hortolândia, qual ônibus pego para chegar em Hospital Municipal em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9971362845916824,svm,True
Como vou de Terminal A até Shopping em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.9926673922318946,svm,True
"Estou em Centro e quero ir até Hospital Municipal, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9949775844445274,svm,True
Pode conversar comigo?,intent_classification,conversacao_geral,conversacao_geral,0.9955680958216014,svm,True
Bom dia,intent_classification,conversacao_geral,conversacao_geral,0.9850082925676289,svm,True
Parada sem iluminação,intent_classification,feedback,feedback,0.9938174688170892,svm,True
"Olá, tudo bem?",intent_classification,conversacao_geral,conversacao_geral,0.995459468152759,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Instale esse programa,intent_classification,desconhecido,desconhecido,0.9943567343815678,svm,True
O ônibus atrasou 15 minutos,intent_classification,feedback,feedback,0.9962431213461435,svm,True
"Saindo de Centro, qual ônibus pego para chegar em Hospital Municipal em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9970733813352249,svm,True
Qual o ônibus que sai de Hortolândia e vai para Campinas em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9923991942516738,svm,True
Não entendi,intent_classification,conversacao_geral,conversacao_geral,0.9953730696115469,svm,True
Gostei do atendimento,intent_classification,feedback,feedback,0.9942434871774202,svm,True
Qual o ônibus que sai de Jardim Amanda e vai para Campinas em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9864915828575876,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
Obrigado!,intent_classification,conversacao_geral,conversacao_geral,0.9955254074425935,svm,True
Instale esse programa,intent_classification,desconhecido,desconhecido,0.9943567343815678,svm,True
"Saindo de Vila Nova, qual ônibus pego para chegar em Aeroporto em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9961679067416069,svm,True
"Estou em Vila Nova e quero ir até Hospital Municipal, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9921642263655918,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
"Estou em Jardim Amanda e quero ir até Shopping, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.97513625003012,svm,True
Não entendi,intent_classification,conversacao_geral,conversacao_geral,0.9953730696115469,svm,True
Qual a capital da Noruega?,intent_classification,desconhecido,desconhecido,0.9942914081555113,svm,True
Sugestão: mais horários no pico,intent_classification,feedback,feedback,0.9944316950121936,svm,True
Abre o navegador,intent_classification,desconhecido,desconhecido,0.9935427517869101,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Pode explicar como usar?,intent_classification,conversacao_geral,conversacao_geral,0.9956145410359206,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
"Preciso de uma rota de Parque das Flores para Terminal B em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9965279057666065,svm,True
"Estou em Vila Nova e quero ir até Terminal B, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9910562128936736,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Como vou de Hortolândia até Terminal B em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.9961589544519304,svm,True
Motorista foi educado,intent_classification,feedback,feedback,0.9945629136094304,svm,True
vc joga?,intent_classification,desconhecido,desconhecido,0.9940110241114777,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
O ônibus atrasou 15 minutos,intent_classification,feedback,feedback,0.9962431213461435,svm,True
"Preciso de uma rota de Hortolândia para Shopping em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9943538554262524,svm,True
Motorista foi educado,intent_classification,feedback,feedback,0.9945629136094304,svm,True
pode tocar musica,intent_classification,desconhecido,desconhecido,0.9942403077297935,svm,True
Como investir em ações?,intent_classification,desconhecido,desconhecido,0.9943464671199957,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
Quero assistir um filme agora,intent_classification,desconhecido,desconhecido,0.9942976824382582,svm,True
Como funciona você?,intent_classification,conversacao_geral,conversacao_geral,0.9951041777974744,svm,True
Você é um assistente?,intent_classification,conversacao_geral,conversacao_geral,0.9960287065783217,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
Pode conversar comigo?,intent_classification,conversacao_geral,conversacao_geral,0.9955680958216014,svm,True
"Preciso de uma rota de Jardim Amanda para Shopping em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9886399620768355,svm,True
Rota mudou sem aviso,intent_classification,feedback,feedback,0.9943586207862244,svm,True
Como vou de Paulínia até Aeroporto em Campinas de ônibus?,intent_classification,solicitar_rota,solicitar_rota,0.9959758042475281,svm,True
Boa tarde,intent_classification,conversacao_geral,conversacao_geral,0.995404152234563,svm,True
pode tocar musica,intent_classification,desconhecido,desconhecido,0.9942403077297935,svm,True
Qual o resultado do jogo do Brasil?,intent_classification,desconhecido,desconhecido,0.9944187690787376,svm,True
Mostre notícias de tecnologia,intent_classification,desconhecido,desconhecido,0.9943646509956409,svm,True
"Preciso de uma rota de Hortolândia para Shopping em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9943538554262524,svm,True
Estou testando,intent_classification,conversacao_geral,conversacao_geral,0.9955762642253894,svm,True
Gostei do atendimento,intent_classification,feedback,feedback,0.9942434871774202,svm,True
sudo apt-get install algo,intent_classification,desconhecido,desconhecido,0.9943047061159899,svm,True
"Estou em Hortolândia e quero ir até Hospital Municipal, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9917099189791826,svm,True
Aplicativo travando,intent_classification,feedback,feedback,0.9840715301807174,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
asdfghjk,intent_classification,desconhecido,desconhecido,0.9941530863017872,svm,True
Parada sem iluminação,intent_classification,feedback,feedback,0.9938174688170892,svm,True
