user_text,intent
Preciso ir até Terminal B saindo de Parque das Flores,solicitar_rota
rota Parque das Flores p Praça Matriz,solicitar_rota
Como vou de Campinas até Terminal B?,solicitar_rota
Preciso ir até Universidade saindo de Parque das Flores,solicitar_rota
Informação do app não confere,feedback
E aí?,conversacao_geral
Quantos planetas existem?,desconhecido
Me leva para Universidade,solicitar_rota
Você pode me ajudar?,conversacao_geral
Informação do app não confere,feedback
Rota mudou sem aviso,feedback
Boa tarde,conversacao_geral
Perdi o ônibus por atraso,feedback
rota Parque das Flores p Aeroporto,solicitar_rota
rota Vila Nova p Centro,solicitar_rota
Motorista não parou no ponto,feedback
Linha 701 demorou demais,feedback
Instale esse programa,desconhecido
Ar-condicionado gelando demais,feedback
Saindo de Parque das Flores indo até Shopping Central,solicitar_rota
Tem suporte humano?,conversacao_geral
Instale esse programa,desconhecido
Valeu,conversacao_geral
Saindo de Parque das Flores indo até Centro,solicitar_rota
Rota mudou sem aviso,feedback
onibus atrasou,feedback
Agenda uma reunião amanhã,desconhecido
Qual seu objetivo?,conversacao_geral
Estou testando,conversacao_geral
Sugestão: mais horários no pico,feedback
Aplicativo travando com frequência,feedback
Rota mudou sem aviso,feedback
Pode falar comigo?,conversacao_geral
Motorista dirigiu com cuidado,feedback
Traçar rota para Aeroporto,solicitar_rota
Pode conversar comigo?,conversacao_geral
Agenda uma reunião amanhã,desconhecido
Quero assistir um filme agora,desconhecido
Ônibus muito lotado,feedback
Qual o ponto mais perto de Universidade?,solicitar_rota
Demora para atualizar horários,feedback
Elogio para a linha 305,feedback
Você pode me ajudar?,conversacao_geral
Quem ganhou o Oscar?,desconhecido
Qual o melhor trajeto para Hospital Municipal?,solicitar_rota
Qual o melhor trajeto para Universidade?,solicitar_rota
Reclamação sobre limpeza do veículo,feedback
Me mostra a rota até Estação Sul,solicitar_rota
Como aprender violão rápido?,desconhecido
Som muito alto dentro do ônibus,feedback
Qual seu objetivo?,conversacao_geral
Preciso do caminho até Rodoviária,solicitar_rota
Não gostei do motorista,feedback
Ar-condicionado gelando demais,feedback
Qual a capital da Noruega?,desconhecido
Quero ir de Parque das Flores para Praça Matriz,solicitar_rota
Valeu,conversacao_geral
Me mostra a previsão do tempo de Paris,desconhecido
Ar-condicionado gelando demais,feedback
Quantos planetas existem?,desconhecido
Qual itinerário da linha 1001?,solicitar_rota
Como vou de Vila Nova até Estação Sul?,solicitar_rota
Saindo de Campinas indo até Estação Sul,solicitar_rota
Qual o melhor trajeto para Terminal B?,solicitar_rota
Demora para atualizar horários,feedback
Tem suporte humano?,conversacao_geral
Motorista foi educado,feedback
Qual o ponto mais perto de Jardim São Paulo?,solicitar_rota
Ônibus para Universidade agora,solicitar_rota
O ônibus atrasou 7 minutos,feedback
Que horas passa a linha 101?,solicitar_rota
Receita de lasanha,desconhecido
Qual o ponto mais perto de Shopping Central?,solicitar_rota
Que horas passa a linha 305?,solicitar_rota
O ônibus atrasou 12 minutos,feedback
Me ligue mais tarde,desconhecido
Você pode me ajudar?,conversacao_geral
Qual o resultado do jogo do Brasil?,desconhecido
Instale esse programa,desconhecido
Tá me ouvindo?,conversacao_geral
Preciso ir até Universidade saindo de Parque das Flores,solicitar_rota
"Bom dia, tudo certo aí?",conversacao_geral
ir de Campinas pra Shopping Central,solicitar_rota
Quem ganhou o Oscar?,desconhecido
Me ligue mais tarde,desconhecido
Tá me ouvindo?,conversacao_geral
Quero comprar um carro,desconhecido
Som muito alto dentro do ônibus,feedback
Qual a senha do Wi-Fi?,desconhecido
Qual o ponto mais perto de Aeroporto?,solicitar_rota
Como consertar meu computador?,desconhecido
"Bom dia, tudo certo aí?",conversacao_geral
Como aprender violão rápido?,desconhecido
sudo apt-get install algo,desconhecido
Estou testando,conversacao_geral
Como funciona você?,conversacao_geral
Como chego em Terminal B?,solicitar_rota
Ar-condicionado gelando demais,feedback
Preciso ir até Praça Matriz saindo de Vila Nova,solicitar_rota
Quero sair de Americana e chegar em Rodoviária,solicitar_rota
Como aprender violão rápido?,desconhecido
q onibus vai pra Centro?,solicitar_rota
Pode falar comigo?,conversacao_geral
rota Campinas p Estação Sul,solicitar_rota
Como investir em ações?,desconhecido
Qual o melhor trajeto para Shopping Central?,solicitar_rota
Me mostra a rota até Jardim São Paulo,solicitar_rota
Como investir em ações?,desconhecido
Linha 909 demorou demais,feedback
Informação do app não confere,feedback
Qual linha vai para Aeroporto?,solicitar_rota
Quem é você?,conversacao_geral
Rota do ponto Centro ao Terminal B,solicitar_rota
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
Que horas passa a linha 305?,solicitar_rota
Motorista dirigiu com cuidado,feedback
ir de Centro pra Jardim São Paulo,solicitar_rota
Qual o ponto mais perto de Jardim São Paulo?,solicitar_rota
reclamacao: muito cheio,feedback
Tem ônibus Centro -> Centro?,solicitar_rota
gostei do servico,feedback
Boa tarde,conversacao_geral
Que horas passa a linha 701?,solicitar_rota
Saindo de Vila Nova indo até Rodoviária,solicitar_rota
Tem suporte humano?,conversacao_geral
onibus atrasou,feedback
nao to entendendo nd,desconhecido
Tarifa muito alta,feedback
ir de Americana pra Shopping Central,solicitar_rota
Ônibus muito lotado,feedback
Me ligue mais tarde,desconhecido
Você é um assistente?,conversacao_geral
Boa tarde,conversacao_geral
Som muito alto dentro do ônibus,feedback
Qual o resultado do jogo do Brasil?,desconhecido
Preciso ir até Jardim São Paulo saindo de Parque das Flores,solicitar_rota
Ônibus para Universidade agora,solicitar_rota
Oi,conversacao_geral
Me ligue mais tarde,desconhecido
Instale esse programa,desconhecido
Ar-condicionado não estava funcionando,feedback
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
q onibus vai pra Shopping Central?,solicitar_rota
Preciso ir até Estação Sul saindo de Parque das Flores,solicitar_rota
Quem é você?,conversacao_geral
reclamacao: muito cheio,feedback
Instale esse programa,desconhecido
Me leva para Terminal B,solicitar_rota
Próximo ônibus para Universidade,solicitar_rota
Quem é você?,conversacao_geral
Linha 701 demorou demais,feedback
Quero sair de Sumaré e chegar em Centro,solicitar_rota
Pode conversar comigo?,conversacao_geral
Preciso do caminho até Aeroporto,solicitar_rota
q q é isso,desconhecido
Preciso do caminho até Estação Sul,solicitar_rota
Qual seu objetivo?,conversacao_geral
Informação do app não confere,feedback
Informação do app não confere,feedback
Qual o melhor trajeto para Jardim São Paulo?,solicitar_rota
Como chego em Praça Matriz?,solicitar_rota
Quero ir de Campinas para Rodoviária,solicitar_rota
ir de Campinas pra Hospital Municipal,solicitar_rota
Quantos planetas existem?,desconhecido
Como investir em ações?,desconhecido
Não entendi,conversacao_geral
Qual o preço do dólar hoje?,desconhecido
asdfghjk,desconhecido
Estou testando,conversacao_geral
q q é isso,desconhecido
Rota mudou sem aviso,feedback
rota Americana p Hospital Municipal,solicitar_rota
q q é isso,desconhecido
"Olá, tudo bem?",conversacao_geral
onibus atrasou,feedback
Boa tarde,conversacao_geral
Parada sem iluminação,feedback
Saindo de Paulínia indo até Universidade,solicitar_rota
Como aprender violão rápido?,desconhecido
"Tenho que ir para Terminal B, ajuda",solicitar_rota
"Bom dia, tudo certo aí?",conversacao_geral
nao to entendendo nd,desconhecido
"Bom dia, tudo certo aí?",conversacao_geral
Quero ir de Terminal A para Centro,solicitar_rota
Parada sem iluminação,feedback
Rota mudou sem aviso,feedback
pode tocar musica,desconhecido
Tem ônibus Estação Norte -> Rodoviária?,solicitar_rota
Que horas passa a linha 808?,solicitar_rota
Obrigado!,conversacao_geral
onibus atrasou,feedback
Ônibus muito lotado,feedback
Como consertar meu computador?,desconhecido
Me leva para Terminal B,solicitar_rota
rota Sumaré p Hospital Municipal,solicitar_rota
Tarifa muito alta,feedback
Mostre notícias de tecnologia,desconhecido
Qual ônibus para Centro?,solicitar_rota
Rota do ponto Centro ao Rodoviária,solicitar_rota
Valeu,conversacao_geral
sudo apt-get install algo,desconhecido
Rota do ponto Vila Nova ao Terminal B,solicitar_rota
Preciso ir até Hospital Municipal saindo de Parque das Flores,solicitar_rota
Que horas passa a linha 701?,solicitar_rota
Pode repetir?,conversacao_geral
Beleza?,conversacao_geral
Valeu,conversacao_geral
Não entendi,conversacao_geral
Rota do ponto Estação Norte ao Shopping Central,solicitar_rota
Que horas passa a linha 701?,solicitar_rota
onibus atrasou,feedback
Obrigado!,conversacao_geral
Quero comprar um carro,desconhecido
Ar-condicionado gelando demais,feedback
Próximo ônibus para Aeroporto,solicitar_rota
Informação do app não confere,feedback
Boa tarde,conversacao_geral
Me leva para Universidade,solicitar_rota
Quero comprar um carro,desconhecido
Me mostra a previsão do tempo de Paris,desconhecido
Quero assistir um filme agora,desconhecido
Me leva para Rodoviária,solicitar_rota
Parada sem iluminação,feedback
Ar-condicionado não estava funcionando,feedback
Quantos planetas existem?,desconhecido
Qual seu objetivo?,conversacao_geral
rota Vila Nova p Universidade,solicitar_rota
Motorista dirigiu com cuidado,feedback
Som muito alto dentro do ônibus,feedback
reclamacao: muito cheio,feedback
Som muito alto dentro do ônibus,feedback
como chego em Praça Matriz,solicitar_rota
Sou de Americana quero ir para Universidade,solicitar_rota
Sugestão: mais horários no pico,feedback
Qual a senha do Wi-Fi?,desconhecido
Banco quebrado no fundo,feedback
Qual o ponto mais perto de Jardim São Paulo?,solicitar_rota
Como fazer bolo de cenoura?,desconhecido
Perdi o ônibus por atraso,feedback
Banco quebrado no fundo,feedback
asdfghjk,desconhecido
reclamacao: muito cheio,feedback
Como vou de Parque das Flores até Hospital Municipal?,solicitar_rota
Valeu,conversacao_geral
Ar-condicionado gelando demais,feedback
Me ligue mais tarde,desconhecido
Preciso do caminho até Hospital Municipal,solicitar_rota
Obrigado!,conversacao_geral
Você é um assistente?,conversacao_geral
Quero comprar um carro,desconhecido
Pode conversar comigo?,conversacao_geral
Como posso começar a usar?,conversacao_geral
Qual o melhor trajeto para Praça Matriz?,solicitar_rota
"Tenho que ir para Terminal B, ajuda",solicitar_rota
Como chego em Estação Sul?,solicitar_rota
Como posso começar a usar?,conversacao_geral
Como posso começar a usar?,conversacao_geral
O que você faz?,conversacao_geral
onibus atrasou,feedback
Você fala português?,conversacao_geral
E aí?,conversacao_geral
app travando,feedback
Abre o navegador,desconhecido
Quem é você?,conversacao_geral
Quero comprar um carro,desconhecido
Não entendi,conversacao_geral
Qual o preço do dólar hoje?,desconhecido
vc joga?,desconhecido
Instale esse programa,desconhecido
Pode conversar comigo?,conversacao_geral
"Bom dia, tudo certo aí?",conversacao_geral
pode tocar musica,desconhecido
Traçar rota para Universidade,solicitar_rota
Saindo de Campinas indo até Centro,solicitar_rota
Quem ganhou o Oscar?,desconhecido
Não entendi,conversacao_geral
Tem suporte humano?,conversacao_geral
"Tenho que ir para Shopping Central, ajuda",solicitar_rota
Como investir em ações?,desconhecido
Que horas passa a linha 522?,solicitar_rota
Pode repetir?,conversacao_geral
Sou de Sumaré quero ir para Centro,solicitar_rota
Quero comprar um carro,desconhecido
Me mostra a previsão do tempo de Paris,desconhecido
Ar-condicionado não estava funcionando,feedback
Obrigado!,conversacao_geral
Ar-condicionado gelando demais,feedback
Como chego em Centro?,solicitar_rota
ir de Hortolândia pra Jardim São Paulo,solicitar_rota
Som muito alto dentro do ônibus,feedback
Que horas passa a linha 101?,solicitar_rota
Qual seu objetivo?,conversacao_geral
Qual linha vai para Centro?,solicitar_rota
Preciso do caminho até Centro,solicitar_rota
Elogio para a linha 1001,feedback
"Bom dia, tudo certo aí?",conversacao_geral
Tá me ouvindo?,conversacao_geral
Gostei do atendimento,feedback
Gostei do atendimento,feedback
Quem é você?,conversacao_geral
pode tocar musica,desconhecido
Qual itinerário da linha 1001?,solicitar_rota
Estou testando,conversacao_geral
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
sudo apt-get install algo,desconhecido
Preciso do caminho até Jardim São Paulo,solicitar_rota
Me ligue mais tarde,desconhecido
Como vou de Terminal A até Aeroporto?,solicitar_rota
Qual o melhor trajeto para Hospital Municipal?,solicitar_rota
Tem ônibus Parque das Flores -> Rodoviária?,solicitar_rota
Me mostra a rota até Terminal B,solicitar_rota
Motorista não parou no ponto,feedback
Você pode me ajudar?,conversacao_geral
Demora para atualizar horários,feedback
Agenda uma reunião amanhã,desconhecido
Motorista não parou no ponto,feedback
Como chego em Shopping Central?,solicitar_rota
Quem ganhou o Oscar?,desconhecido
Próximo ônibus para Jardim São Paulo,solicitar_rota
"Olá, tudo bem?",conversacao_geral
Reclamação sobre limpeza do veículo,feedback
Próximo ônibus para Terminal B,solicitar_rota
ir de Hortolândia pra Shopping Central,solicitar_rota
Qual o resultado do jogo do Brasil?,desconhecido
Quero assistir um filme agora,desconhecido
Como chego em Centro?,solicitar_rota
Linha 101 demorou demais,feedback
Como vou de Hortolândia até Estação Sul?,solicitar_rota
Ônibus muito lotado,feedback
Rota do ponto Campinas ao Shopping Central,solicitar_rota
Como funciona você?,conversacao_geral
sudo apt-get install algo,desconhecido
Quantos planetas existem?,desconhecido
Ar-condicionado não estava funcionando,feedback
Quem é você?,conversacao_geral
Elogio para a linha 101,feedback
Como investir em ações?,desconhecido
Ar-condicionado não estava funcionando,feedback
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
Quem é você?,conversacao_geral
Que horas passa a linha 101?,solicitar_rota
Tem ônibus Hortolândia -> Jardim São Paulo?,solicitar_rota
Traçar rota para Jardim São Paulo,solicitar_rota
Me ligue mais tarde,desconhecido
Não gostei do motorista,feedback
Qual o preço do dólar hoje?,desconhecido
q q é isso,desconhecido
Pode falar comigo?,conversacao_geral
Parada sem iluminação,feedback
Saindo de Americana indo até Centro,solicitar_rota
Obrigado!,conversacao_geral
Motorista foi educado,feedback
Boa tarde,conversacao_geral
Você é um assistente?,conversacao_geral
Estou testando,conversacao_geral
Qual a senha do Wi-Fi?,desconhecido
rota Sumaré p Shopping Central,solicitar_rota
Receita de lasanha,desconhecido
Quem é você?,conversacao_geral
Como chego em Estação Sul?,solicitar_rota
Motorista foi educado,feedback
Você pode me ajudar?,conversacao_geral
Quero sair de Estação Norte e chegar em Shopping Central,solicitar_rota
Rota do ponto Terminal A ao Aeroporto,solicitar_rota
Como fazer bolo de cenoura?,desconhecido
Ar-condicionado não estava funcionando,feedback
Qual seu nome?,conversacao_geral
Tá me ouvindo?,conversacao_geral
Qual o resultado do jogo do Brasil?,desconhecido
Pode falar comigo?,conversacao_geral
Estou testando,conversacao_geral
Boa tarde,conversacao_geral
Traçar rota para Hospital Municipal,solicitar_rota
Como posso começar a usar?,conversacao_geral
Tá me ouvindo?,conversacao_geral
rota Terminal A p Jardim São Paulo,solicitar_rota
O ônibus atrasou 28 minutos,feedback
Você pode me ajudar?,conversacao_geral
Me mostra a previsão do tempo de Paris,desconhecido
sudo apt-get install algo,desconhecido
Boa tarde,conversacao_geral
Tem suporte humano?,conversacao_geral
ir de Parque das Flores pra Shopping Central,solicitar_rota
Pode explicar como usar?,conversacao_geral
Motorista dirigiu com cuidado,feedback
gostei do servico,feedback
Oi,conversacao_geral
E aí?,conversacao_geral
como chego em Aeroporto,solicitar_rota
Quem é você?,conversacao_geral
Qual a capital da Noruega?,desconhecido
O ônibus atrasou 27 minutos,feedback
Me leva para Shopping Central,solicitar_rota
Tem ônibus Paulínia -> Centro?,solicitar_rota
Rota mudou sem aviso,feedback
Ajuda por favor,conversacao_geral
Reclamação sobre limpeza do veículo,feedback
Qual seu nome?,conversacao_geral
Pode falar comigo?,conversacao_geral
app travando,feedback
Não entendi,conversacao_geral
Você é um assistente?,conversacao_geral
"Tenho que ir para Aeroporto, ajuda",solicitar_rota
Elogio para a linha 305,feedback
Qual seu objetivo?,conversacao_geral
Como aprender violão rápido?,desconhecido
Qual a capital da Noruega?,desconhecido
Quero comprar um carro,desconhecido
Me ligue mais tarde,desconhecido
Não gostei do motorista,feedback
Boa tarde,conversacao_geral
Aplicativo travando com frequência,feedback
Qual a capital da Noruega?,desconhecido
Elogio para a linha 522,feedback
Me mostra a rota até Rodoviária,solicitar_rota
Motorista não parou no ponto,feedback
Reclamação sobre limpeza do veículo,feedback
Tem ônibus Centro -> Terminal B?,solicitar_rota
q onibus vai pra Praça Matriz?,solicitar_rota
Que horas passa a linha 909?,solicitar_rota
Qual a capital da Noruega?,desconhecido
Não entendi,conversacao_geral
Qual a capital da Noruega?,desconhecido
vc joga?,desconhecido
"Bom dia, tudo certo aí?",conversacao_geral
Motorista dirigiu com cuidado,feedback
Boa tarde,conversacao_geral
Me leva para Jardim São Paulo,solicitar_rota
Motorista foi educado,feedback
Som muito alto dentro do ônibus,feedback
Motorista foi educado,feedback
Motorista não parou no ponto,feedback
Demora para atualizar horários,feedback
Sou de Paulínia quero ir para Universidade,solicitar_rota
Elogio para a linha 202,feedback
Qual o ponto mais perto de Jardim São Paulo?,solicitar_rota
Não gostei do motorista,feedback
Banco quebrado no fundo,feedback
como chego em Estação Sul,solicitar_rota
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
como chego em Universidade,solicitar_rota
Qual linha vai para Terminal B?,solicitar_rota
Motorista não parou no ponto,feedback
Motorista dirigiu com cuidado,feedback
ir de Sumaré pra Aeroporto,solicitar_rota
Saindo de Sumaré indo até Aeroporto,solicitar_rota
Motorista não parou no ponto,feedback
q q é isso,desconhecido
Pode falar comigo?,conversacao_geral
Obrigado!,conversacao_geral
Qual o resultado do jogo do Brasil?,desconhecido
O ônibus atrasou 13 minutos,feedback
Receita de lasanha,desconhecido
Gostei do atendimento,feedback
Pode explicar como usar?,conversacao_geral
Saindo de Parque das Flores indo até Praça Matriz,solicitar_rota
Como vou de Americana até Praça Matriz?,solicitar_rota
Traçar rota para Estação Sul,solicitar_rota
Quem é você?,conversacao_geral
Qual o ponto mais perto de Rodoviária?,solicitar_rota
Obrigado!,conversacao_geral
Não entendi,conversacao_geral
Parada sem iluminação,feedback
Tarifa muito alta,feedback
Preciso do caminho até Shopping Central,solicitar_rota
Tá me ouvindo?,conversacao_geral
E aí?,conversacao_geral
Pode repetir?,conversacao_geral
"Bom dia, tudo certo aí?",conversacao_geral
asdfghjk,desconhecido
Você fala português?,conversacao_geral
Como aprender violão rápido?,desconhecido
Qual seu nome?,conversacao_geral
vc joga?,desconhecido
Qual o preço do dólar hoje?,desconhecido
Aplicativo travando com frequência,feedback
Pode repetir?,conversacao_geral
Pode conversar comigo?,conversacao_geral
Não entendi,conversacao_geral
Como fazer bolo de cenoura?,desconhecido
Linha 417 demorou demais,feedback
Elogio para a linha 417,feedback
"Pode me ajudar, por favor?",conversacao_geral
Oi,conversacao_geral
sudo apt-get install algo,desconhecido
Estou testando,conversacao_geral
Linha 909 demorou demais,feedback
Não entendi,conversacao_geral
Gostei do atendimento,feedback
Qual o resultado do jogo do Brasil?,desconhecido
vc joga?,desconhecido
Tarifa muito alta,feedback
Como aprender violão rápido?,desconhecido
Qual ônibus para Aeroporto?,solicitar_rota
Obrigado!,conversacao_geral
Quem é você?,conversacao_geral
Como vou de Campinas até Shopping Central?,solicitar_rota
nao to entendendo nd,desconhecido
vc joga?,desconhecido
reclamacao: muito cheio,feedback
Instale esse programa,desconhecido
Você pode me ajudar?,conversacao_geral
q q é isso,desconhecido
Tarifa muito alta,feedback
Elogio para a linha 202,feedback
Rota do ponto Centro ao Centro,solicitar_rota
Valeu,conversacao_geral
Perdi o ônibus por atraso,feedback
Reclamação sobre limpeza do veículo,feedback
Como consertar meu computador?,desconhecido
Ar-condicionado gelando demais,feedback
Quero sair de Hortolândia e chegar em Shopping Central,solicitar_rota
Quero sair de Hortolândia e chegar em Jardim São Paulo,solicitar_rota
"Você poderia me ajudar, por gentileza?",conversacao_geral
Obrigado!,conversacao_geral
Não entendi,conversacao_geral
Rota do ponto Paulínia ao Shopping Central,solicitar_rota
Qual itinerário da linha 1001?,solicitar_rota
Quero comprar um carro,desconhecido
Seria possível me dar uma ajuda?,conversacao_geral
Qual itinerário da linha 808?,solicitar_rota
Pode repetir?,conversacao_geral
Preciso do caminho até Shopping Central,solicitar_rota
Motorista não parou no ponto,feedback
Como posso começar a usar?,conversacao_geral
Como fazer bolo de cenoura?,desconhecido
Oi,conversacao_geral
Me leva para Terminal B,solicitar_rota
Como investir em ações?,desconhecido
Qual seu objetivo?,conversacao_geral
ir de Campinas pra Jardim São Paulo,solicitar_rota
Obrigado!,conversacao_geral
Tá me ouvindo?,conversacao_geral
Como chego em Rodoviária?,solicitar_rota
Não gostei do motorista,feedback
Tem ônibus Sumaré -> Universidade?,solicitar_rota
Próximo ônibus para Jardim São Paulo,solicitar_rota
"Tenho que ir para Aeroporto, ajuda",solicitar_rota
Aplicativo travando com frequência,feedback
Quero assistir um filme agora,desconhecido
Reclamação sobre limpeza do veículo,feedback
Quero ir de Sumaré para Jardim São Paulo,solicitar_rota
Como aprender violão rápido?,desconhecido
Elogio para a linha 1001,feedback
Qual ônibus para Shopping Central?,solicitar_rota
E aí?,conversacao_geral
Você pode me ajudar?,conversacao_geral
Qual linha vai para Hospital Municipal?,solicitar_rota
Qual a senha do Wi-Fi?,desconhecido
Boa tarde,conversacao_geral
"Tenho que ir para Universidade, ajuda",solicitar_rota
vc joga?,desconhecido
ir de Americana pra Shopping Central,solicitar_rota
Aplicativo travando com frequência,feedback
Qual seu objetivo?,conversacao_geral
Qual ônibus para Shopping Central?,solicitar_rota
Rota mudou sem aviso,feedback
Gostei do atendimento,feedback
Qual linha vai para Rodoviária?,solicitar_rota
Saindo de Estação Norte indo até Aeroporto,solicitar_rota
Ar-condicionado gelando demais,feedback
Tudo bem?,conversacao_geral
Traduza isto para francês,desconhecido
Abre o navegador,desconhecido
Qual linha vai para Universidade?,solicitar_rota
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
Qual o ponto mais perto de Aeroporto?,solicitar_rota
Me ligue mais tarde,desconhecido
Traçar rota para Aeroporto,solicitar_rota
Instale esse programa,desconhecido
Pode repetir?,conversacao_geral
Qual o resultado do jogo do Brasil?,desconhecido
"Tenho que ir para Estação Sul, ajuda",solicitar_rota
Ar-condicionado gelando demais,feedback
Quero sair de Vila Nova e chegar em Praça Matriz,solicitar_rota
Tem ônibus Estação Norte -> Shopping Central?,solicitar_rota
rota Vila Nova p Shopping Central,solicitar_rota
Tarifa muito alta,feedback
Mostre notícias de tecnologia,desconhecido
O ônibus atrasou 11 minutos,feedback
Tem ônibus Campinas -> Terminal B?,solicitar_rota
Próximo ônibus para Aeroporto,solicitar_rota
"Bom dia, tudo certo aí?",conversacao_geral
Qual o ponto mais perto de Rodoviária?,solicitar_rota
Motorista foi educado,feedback
Qual o resultado do jogo do Brasil?,desconhecido
"Bom dia, tudo certo aí?",conversacao_geral
Saindo de Campinas indo até Jardim São Paulo,solicitar_rota
Aplicativo travando com frequência,feedback
Como fazer bolo de cenoura?,desconhecido
sudo apt-get install algo,desconhecido
Instale esse programa,desconhecido
asdfghjk,desconhecido
Oi,conversacao_geral
Como investir em ações?,desconhecido
app travando,feedback
Quantos planetas existem?,desconhecido
"Bom dia, tudo certo aí?",conversacao_geral
Como vou de Centro até Estação Sul?,solicitar_rota
ir de Paulínia pra Jardim São Paulo,solicitar_rota
Você pode me ajudar?,conversacao_geral
Tudo certo?,conversacao_geral
Pode repetir?,conversacao_geral
Motorista dirigiu com cuidado,feedback
"Bom dia, tudo certo aí?",conversacao_geral
Pode explicar como usar?,conversacao_geral
Sou de Estação Norte quero ir para Universidade,solicitar_rota
como chego em Centro,solicitar_rota
Você é um assistente?,conversacao_geral
Valeu,conversacao_geral
Sou de Terminal A quero ir para Shopping Central,solicitar_rota
asdfghjk,desconhecido
Qual seu nome?,conversacao_geral
Estou testando,conversacao_geral
Mostre notícias de tecnologia,desconhecido
Tarifa muito alta,feedback
Informação do app não confere,feedback
Mostre notícias de tecnologia,desconhecido
Qual linha vai para Rodoviária?,solicitar_rota
Me ligue mais tarde,desconhecido
Qual o ponto mais perto de Praça Matriz?,solicitar_rota
Próximo ônibus para Jardim São Paulo,solicitar_rota
Qual itinerário da linha 909?,solicitar_rota
Você pode me ajudar?,conversacao_geral
Qual o melhor trajeto para Rodoviária?,solicitar_rota
Você é um assistente?,conversacao_geral
Quero ir de Estação Norte para Jardim São Paulo,solicitar_rota
Demora para atualizar horários,feedback
Você é um assistente?,conversacao_geral
Qual o preço do dólar hoje?,desconhecido
Preciso do caminho até Estação Sul,solicitar_rota
Receita de lasanha,desconhecido
Informação do app não confere,feedback
Me mostra a previsão do tempo de Paris,desconhecido
O ônibus atrasou 25 minutos,feedback
Não gostei do motorista,feedback
Demora para atualizar horários,feedback
Perdi o ônibus por atraso,feedback
"Tenho que ir para Terminal B, ajuda",solicitar_rota
Quantos planetas existem?,desconhecido
sudo apt-get install algo,desconhecido
Motorista foi educado,feedback
Quero comprar um carro,desconhecido
reclamacao: muito cheio,feedback
Ar-condicionado não estava funcionando,feedback
Pode conversar comigo?,conversacao_geral
Quero assistir um filme agora,desconhecido
Pode explicar como usar?,conversacao_geral
Pode repetir?,conversacao_geral
Qual o ponto mais perto de Rodoviária?,solicitar_rota
q onibus vai pra Praça Matriz?,solicitar_rota
Oi,conversacao_geral
Traduza isto para francês,desconhecido
sudo apt-get install algo,desconhecido
Valeu,conversacao_geral
Como consertar meu computador?,desconhecido
Me leva para Rodoviária,solicitar_rota
Valeu,conversacao_geral
Você fala português?,conversacao_geral
Pode explicar como usar?,conversacao_geral
Como vou de Terminal A até Jardim São Paulo?,solicitar_rota
Quem ganhou o Oscar?,desconhecido
nao to entendendo nd,desconhecido
Qual itinerário da linha 1001?,solicitar_rota
