timestamp,interaction_id,user_query,extracted_origin,extracted_destination,suggested_route_code,suggestion_confidence,assistant_response,user_feedback
,e2be17f1-1bb5-4f4e-9c2f-402f40cf4d85,,,,,,,
,a172636c-626d-456d-892a-ef6dc6d047ea,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,fe4ba0ab-da43-4e5c-a162-2ed6031f53ff,,,,,,,
,f8a9f1c4-0f73-444c-a466-d6b15c1f98af,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,403c481c-e360-4ad3-9336-8f66f6eb989e,,,,,,,
,65a2a4f5-41bc-4de3-9c23-f751312c31b4,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,e3b7b6d4-ee6e-4357-b6fb-645d55f4d824,,,,,,,
,ebd8a32f-7232-4d60-98b6-958a5f334a25,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,86fd8e58-1df6-4030-85f0-1f1fbde95b2e,,,,,,,
,4ee684eb-63ad-4069-9bda-41c063a15ce8,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,6178a098-4ba5-469f-b6dd-8e5b0e8e8d3f,,,,,,,
,f0987b74-1152-48e3-bae4-794d8b7328fb,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,b4c1ec84-7f92-4d66-9b10-ad9b13cef3b0,,,,,,,
,87f969aa-8b33-429d-adb2-bdf1706f88ac,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,fdb55b5e-3185-487b-a1e6-8be49cd4e582,,,,,,,
,713cf3ce-2dc5-458e-ba86-a7bef74fcd68,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,b9f54f4b-17b3-4998-8e3b-97057c5cdbeb,,,,,,,
,6e2ba373-c9b7-4741-b357-13f1ec8d4949,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,5237c3b9-c554-4998-90d9-1efc986aebe2,,,,,,,
,e67506e9-9e09-444b-86f0-6757aa930ea9,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,7c519df1-3c6d-424f-a619-51a6b1badd01,,,,,,,
,d946448d-ab34-4a2a-a42a-d84b5314c3b2,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,800bb3ea-c034-42b2-8d11-5530cc47095f,,,,,,,
,492fb784-6627-43f7-9d9e-1625aa9b4789,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
