RouteCode,RouteStart,RouteEnd,llm_generated
025,SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),"oi, como eu faco pra chegar em mogi das cruzes a partir de suzano?"
027,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM TIETE),como eu faco pra chegar do terminal metropolitano santo anderro-leste em sao paulo?
027EX1,SANTO ANDRE (HOSPITAL MARIO COVAS),SAO PAULO (JARDIM TIETE),"oi, como eu faco pra ir do hospital mario voz ate sao paulo?"
030,JUQUITIBA (BARNABES),ITAPECERICA DA SERRA (VALO VELHO),"oi, como eu faco pra pegar um onibus saindo de juquitiba e indo para vale velho?"
030BI1,JUQUITIBA (BAIRRO DOS JUSTINOS),ITAPECERICA DA SERRA (VALO VELHO),"oi, como eu faco pra chegar no valo velho saindo de juquitiba?"
031,EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO),"oi, como eu faco pra chegar em vale velho saindo de embu-guacuba?"
032,ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do parque paraiso ate a vila sonia?
032DV1,ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra ir do parque paraiso ate a sao paulo?"
033,EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO VILA SONIA),"como eu faco pra ir de engenho velho ate a vila sonia e, em seguida, chegar em sao paulo?"
034,ITAPECERICA DA SERRA (JARDIM SAO MARCOS),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),"oi, como eu faco pra ir de jardim sao marcos pra jardim das oliveiras?"
035,COTIA (MIRANTE DA MATA),SAO PAULO (METRO BUTANTA),"oi, como eu faco pra chegar em sao paulo saindo de mirante da mata?"
036,VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),SAO PAULO (METRO MORUMBI),como eu faco pra chegar em sao paulo saindo do jardim sao marcos?
036BI1,EMBU DAS ARTES (JARDIM TOME),SAO PAULO (METRO MORUMBI),como eu faco pra ir do jardim tome pro metro morumbi?
038,MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),SAO PAULO (METRO ARMENIA),como eu faco pra ir de mogi das cruzes pra sao paulo usando o metro armenia?
038VP1,SAO PAULO (SAO MIGUEL PAULISTA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar de sao paulo (sao paulo) ate sao paulo (metro armenia)?"
039,SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),como eu faco pra chegar em mogi das cruzes saindo de suzano?
040,SANTO ANDRE (PARANAPIACABA),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),"oi, como eu faco pra ir de santo andre (paranapiacaba) ate santo andre (estacao cptm prefeito saladino)?"
040EX1,SANTO ANDRE (PARQUE ANDREENSE),SANTO ANDRE (ESTACAO CPTM PREFEITO SALADINO),"oi, como eu faco pra ir do parque andreense ate o estacao cptm saladino?"
041,RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),"oi, como eu faco pra chegar em ribeirao pires partindo do centro de rio grande da serra?"
042,MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra ir de miropolis (mairipora) ate o terminal rodoviario tiete?"
042VP1,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar do terminal rodoviario siga me aidia?
043,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),"oi, como eu faco pra chegar em santo andre saindo do terminal rodoviario nicolau delic?"
043BI1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (REPRESA),como eu faco pra ir do terminal rodoaviario nicolau delic ate santo andre?
047,SANTO ANDRE (VILA PALMARES),SAO PAULO (TAMANDUATEI),"como eu faco pra ir do santo andre, vila palmares, ate sao paulo?"
049,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),FRANCO DA ROCHA (CENTRO),"oi, como eu faco pra chegar no centro a partir do terminal rodoviario mariopora?"
050,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE),como eu faco pra chegar do terminal metro fernao adecsao em sao paulo ate sao paulo?
050EX1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (CAMPO BELO),"oi, como eu faco pra ir do terminal ferroazopolis ate o campo belo?"
051,DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE),"oi, como eu faco pra ir do diadema ate sao paulo?"
052,OSASCO (JARDIM ELVIRA),SAO PAULO (LAPA),como eu faco pra ir de osasco (jardim elvira) pra sao paulo?
053,BARUERI (PARQUE IMPERIAL),SAO PAULO (LAPA),como eu faco pra ir de barqueeri ate sao paulo?
053BI1,OSASCO (JARDIM COLINAS D OESTE),SAO PAULO (LAPA),como eu faco pra ir de osasco pra sao paulo?
054,CAJAMAR (JORDANESIA),SAO PAULO (LAPA),"oi, como eu faco pra ir de jamar ate sao paulo?"
055,CAJAMAR (CTE - VILA NOVA),SAO PAULO (LAPA),como eu faco pra ir de jamar para sao paulo?
056,EMBU DAS ARTES (CENTRO),SAO PAULO (METRO CAMPO LIMPO),como eu faco pra chegar no metro campo limpo saindo de embu das artes?
058,OSASCO (TERMINAL RODOVIARIO HELENA MARIA),SAO PAULO (PINHEIROS),"oi, como eu faco pra ir do terminal rodoviario helena maria ate sao paulo?"
059,OSASCO (CONJUNTO DOS METALURGICOS),SAO PAULO (METRO BUTANTA),como eu faco pra pegar um onibus saindo do conjunto dos metalurgicos e ir para o metro butana?
059PR1,CARAPICUIBA (JARDIM NOVO HORIZONTE),SAO PAULO (METRO BUTANTA),"oi, como eu faco pra chegar em sao paulo saindo do jardim novo horizonte?"
060,OSASCO (OLARIA DO NINO),SAO PAULO (METRO BUTANTA),"oi, como eu faco pra chegar em sao paulo saindo de osasco?"
060BI1,OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO BUTANTA),como eu faco pra chegar no metro butanaca saindo de osasco?
061,CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (METRO BUTANTA),"oi, como eu faco pra chegar em sao paulo saindo de carapicuiba?"
063,RIBEIRAO PIRES (OURO FINO PAULISTA),SAO PAULO (TERMINAL SACOMA),"como eu faco pra ir de ribeirao pires (ouro finopaulista) para sao paulo, saindo de sao paulo?"
063EX1,RIO GRANDE DA SERRA (SANTA TEREZA),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra chegar em sao paulo saindo de santa teresa?"
064,MAUA (JARDIM GUAPITUBA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),"oi, tudo bem? preciso saber como chego de maua (jardim guapituba) ate sao caetano do sul (bairro santo antonio)?"
066,SANTO ANDRE (JARDIM LAS VEGAS),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar do jardim las vegas em sao paulo?
068,TABOAO DA SERRA (PARQUE LAGUNA),SAO PAULO (METRO VILA SONIA),"como eu faco pra ir do taboao da serra ate a vila sonia, e depois a sao paulo?"
069,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),"oi, como eu faco pra chegar na fabrica trol saindo do terminal metropolitano santa andre?"
070,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (FABRICA TROL),"oi, como eu faco pra sair do terminal metropolitano santo andre ate a fabrica trol?"
073,GUARULHOS (NOVA BONSUCESSO),SAO PAULO (SAO MIGUEL PAULISTA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
075,ARUJA (PARQUE RODRIGO BARRETO),SAO PAULO (SAO MIGUEL PAULISTA),"oi, como eu faco pra ir do parque rodrigo barreto ate sao paulo?"
076,ITAQUAQUECETUBA (TERMINAL URBANO ENGENHEIRO MANOEL FEIO),SAO PAULO (METRO BRAS),"oi, como eu faco pra chegar no metro do brasil de itaquaquecetuba?"
077,GUARULHOS (VILA ANY),SAO PAULO (METRO BRAS),"oi, como eu faco pra chegar de vila any ate sao paulo no metro?"
078,EMBU DAS ARTES (PARQUE PIRAJUSSARA),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra chegar do embu das artes no parque pirajussara?"
079,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO VILA SONIA),como eu faco pra chegar em sao paulo a partir do jardim sao judas tadeu?
080,OSASCO (JARDIM BONANCA),SAO PAULO (PINHEIROS),como eu faco pra chegar em sao paulo saindo de osasco?
082,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),OSASCO (VILA YARA),"oi, como eu faco pra ir da praca bom jesus em pirapora do bom jesus ate a vila yara em osasco?"
082BI1,PIRAPORA DO BOM JESUS (IGAVETA),OSASCO (VILA YARA),"oi, preciso saber como chegar em vila yara, que eu to em pirapora do bom jesus (igaveta)."
082DV1,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),OSASCO (VILA YARA),"oi, como eu faco pra sair do pirapora do bom jesus (jardim bom jesus) e ir ate a vila yara?"
084,FRANCO DA ROCHA (PARQUE VITORIA),FRANCISCO MORATO (CENTRO),"oi, como eu faco pra chegar em francisco moro do parque vitoria?"
085,SANTANA DE PARNAIBA (PARQUE SANTANA),SAO PAULO (LAPA),como eu faco pra chegar em sao paulo saindo de santana de paranaiba?
085VP1,SANTANA DE PARNAIBA (PARQUE SANTANA),OSASCO (ESTACAO),"oi, como eu faco pra ir de santana de paraniba ate osasco?"
086,OSASCO (JARDIM VELOSO),SAO PAULO (LAPA),como eu faco pra ir de osasco em sao paulo?
086PR1,CARAPICUIBA (JARDIM GUAPIUVA),SAO PAULO (LAPA),"oi, como eu faco pra ir de carapicuiba ate sao paulo?"
087,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (METRO ITAQUERA),"oi, como eu faco pra chegar no metro itaquera saindo do terminal metropolitano santo andre-leste?"
088,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (ESTACAO CPTM  ITAIM PAULISTA),"oi, como eu faco pra chegar em sao paulo a partir do terminal rodoviario pedro ava, na cidade de sao paulo?"
089,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do jardim sao judas tadeu pra sao paulo?
090,EMBU DAS ARTES (TERMINAL CASA BRANCA),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra chegar do terminal casa branca em sao paulo?"
091,SAO LOURENCO DA SERRA (VILA RITA SOARES),ITAPECERICA DA SERRA (PARQUE PARAISO),como eu faco pra chegar em parque paraiso saindo da vila rita soares?
093,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO),SAO PAULO (METRO CARRAO),"oi, como eu faco pra pegar um onibus saindo do terminal metropolitano vila galvao e ir ate o metro carrao?"
094,GUARULHOS (COCAIA),SAO PAULO (PENHA),"oi, como eu faco pra chegar em saopaulo saindo de guarulhos?"
095,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO BRAS),"oi, como eu faco pra chegar de guarulhos ate sao paulo?"
096,GUARULHOS (HAROLDO VELOSO),SAO PAULO (METRO BRAS),"oi, como eu faco pra sair de guarulhos (haroldo veloso) e chegar em sao paulo?"
100,GUARULHOS (PARQUE PRIMAVERA),SAO PAULO (PENHA),"oi, como eu faco pra pegar um onibus saindo do parque primavera e ir para sao paulo, penha?"
100BI1,GUARULHOS (JARDIM DOS EUCALIPTOS),SAO PAULO (PENHA),"oi, como eu faco pra chegar em sao paulo a partir do jardim dos caliopes?"
101,SAO CAETANO DO SUL (VILA PROSPERIDADE),SAO PAULO (VILA DAS OLARIAS),como eu faco pra ir da vila prospersidade ate a vila das olarias?
102,SAO CAETANO DO SUL (BAIRRO FUNDACAO),SAO PAULO (IV CENTENARIO),"oi, como eu faco pra chegar em sao paulo a partir de sao caetano do sul, no bairro do fundacao?"
103,GUARULHOS (PARQUE CONTINENTAL),SAO PAULO (METRO PARADA INGLESA),"oi, como eu faco pra ir de guarulhos (parque continental) ate sao paulo, na metro parada inglesa?"
104,GUARULHOS (BOM CLIMA),SAO PAULO (METRO TUCURUVI),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
105,GUARULHOS (JARDIM MOREIRA),SAO PAULO (METRO TUCURUVI),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
107,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM ESTHER),"oi, como eu faco pra ir do terminal metropolitano santo andre-leste ate sao paulo?"
110,GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
111,GUARULHOS (JARDIM LEDA),SAO PAULO (METRO PARADA INGLESA),"oi, como eu faco pra pegar um onibus de guarulhos (jardim leda) e ir ate a metro parada inglaterra?"
112,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (SANTO AMARO),"oi, como eu faco pra chegar do terminal metropolitano pirapora para sao aro?"
113,OSASCO (JARDIM SANTA FE),SAO PAULO (LAPA),como eu faco pra chegar na sao paulo saindo do jardim santa fe?
114,FERRAZ DE VASCONCELOS (PARQUE SAO FRANCISCO),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),"oi, como eu faco pra ir do parque sao francisco ate mogi das cruzes?"
115,ARUJA (CENTRO),GUARULHOS (JARDIM SANTA MENA),como eu faco pra chegar de aruja no guarulhos?
116,BARUERI (CENTRO),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar de barao (centro) em sao paulo?"
117,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SANTO ANDRE (ELCLOR),"oi, como eu faco pra ir do terminal rodoviario de ribeiraos pires ate santo andre?"
120,CAJAMAR (VAU NOVO),SAO PAULO  (PERUS),"oi, como eu faco pra chegar em sao paulo saindo de cajamar?"
120PR1,CAJAMAR (LAGO AZUL),SAO PAULO (PERUS),"oi, como eu faco pra sair de cajaram (lago azul) e chegar em sao paulo?"
121,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (PENHA),"oi, como eu faco pra chegar em sao paulo, saindo do terminal metropolitano taboa?"
122,BARUERI (PETROBRAS),OSASCO (VILA YARA),"oi, como eu faco pra ir do barueri (petrobras) ate a vila yara?"
123,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra chegar no terminal rodoviario nicolau delic em sao paulo?"
124,EMBU DAS ARTES (JARDIM SANTO EDUARDO),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra chegar em sao paulo saindo do embuas das artes?"
125,EMBU DAS ARTES (JARDIM SAO MARCOS),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do embuadas artes (jardim sao marcos) ate sao paulo?
125BI1,EMBU DAS ARTES (JARDIM NOSSA SENHORA DE FATIMA),SAO PAULO (METRO VILA SONIA),como eu faco pra chegar de embuadas artes (jardim nossa senhora de fatima) em sao paulo?
128,EMBU DAS ARTES (JARDIM DO COLEGIO),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra chegar em sao paulo a partir de embuadas artes (jardim do colegio)?"
130,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),OSASCO (VILA YARA),"oi, como eu faco pra chegar na vila yara saindo da jardim nossa senhora de fatima?"
133,ITAPEVI (COHAB/JARDIM PAULISTA),OSASCO (VILA YARA),"oi, como eu faco pra ir do itapevi ate a vila yara, saindo daqui?"
133BI1,ITAPEVI (VILA GIOIA),OSASCO (VILA YARA),como eu faco pra ir de itapevi ate osasco?
134,BARUERI (PARQUE VIANA),OSASCO (CENTRO),"oi, como eu faco pra sair do barueri e chegar em osasco?"
137,GUARULHOS (JARDIM FORTALEZA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
138,OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO VILA MADALENA),como eu faco pra chegar da osasco em sao paulo?
139,SAO PAULO (SAO MIGUEL PAULISTA),GUARULHOS (TERMINAL METROPOLITANO CECAP),como eu faco pra chegar em guarulhos saindo de sao paulo?
140,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),"oi, como eu faco pra chegar no terminal rodoviario nicolau delic em santo andre?"
141,SANTA ISABEL (MONTE SERRAT),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),"oi, tudo bem? to em santa isabel e quero saber como chegar de monte serrat ate mogi das cruz."
145,SUZANO (CIDADE EDSON),SAO PAULO (ESTACAO CPTM ITAIM PAULISTA),"oi, como eu faco pra chegar em sao paulo saindo de suzano?"
147,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO BERNARDO DO CAMPO (JARDIM JOAO DE BARRO),"oi, como eu faco pra chegar do terminal rodoviario nicolau delic em sao bernardo do campo?"
148,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO BERNARDO DO CAMPO (JARDIM LEBLON),"oi, como eu faco pra chegar no terminal rodoviario nicolau delic em sao bernardo do campo a partir de sao caetano do sul?"
148EX1,SAO BERNARDO DO CAMPO (UFABC),SAO BERNARDO DO CAMPO (AVENIDA KENNEDY),"oi, como eu faco pra ir de sao bernardo do campo pra avenida kennedy?"
149,SAO CAETANO DO SUL (TERMINAL RODOVIARIO DOUTOR NICOLAU DELIC),SAO BERNARDO DO CAMPO (VILA SAO JOSE),"oi, to no terminal rodoviario do dr. nicolau delic, preciso saber como chegar em sao bernardo do campo."
151,SANTO ANDRE (JARDIM CAMBUI),SAO PAULO (FABRICA TROL),como eu faco pra ir do jardim cambui pra sao paulo?
152,SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra chegar no terminal saopaulo saindo da area verde em sao bernardo do campo?"
153,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar em sao paulo saindo de sao bernardo do campo?
154,SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar no jardim nazare ate o terminal sacramento?
156,DIADEMA (ELDORADO),SAO BERNARDO DO CAMPO (BAETA NEVES),como eu faco pra ir de diadema (eldorado) ate sao bernardo do campo?
156BI1,DIADEMA (ELDORADO),SAO BERNARDO DO CAMPO (BAETA NEVES),como eu faco pra ir de diadema (eldorado) em sao bernardo do campo?
156VP1,DIADEMA (ELDORADO),SAO BERNARDO DO CAMPO (PACO MUNICIPAL),"oi, como eu faco pra chegar em sao bernardo do campo saindo de diadema?"
157,MAUA (SILVIA MARIA),SANTO ANDRE (TERMINAL URBANO DE PREFEITO SALADINO),como eu faco pra pegar o onibus do maua saindo do santo andre?
158,MAUA (JARDIM ZAIRA),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar no terminal saoma?
158BI1,MAUA (JARDIM ZAIRA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),"oi, como eu faco pra chegar no jardim zaira em sao caetano?"
160,MAUA (JARDIM ADELINA),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra chegar em sao paulo saindo do jardim adelina?"
160EX1,MAUA  (JARDIM ITAPEVA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO),"oi, como eu faco pra ir de mau ate sao caetano do sul?"
163,GUARULHOS (JD. PALMIRA - PARQUE CONTINENTAL),SAO PAULO (METRO TUCURUVI),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
165,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),"oi, como eu faco pra pegar um onibus saindo do terminal rodoaviario de ribeirao preto e ir ate o terminal sao bernardo?"
165BI1,SANTO ANDRE (PARQUE REPRESA BILLINGS),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),"oi, tudo bem? preciso saber como chego de santo andre ate o terminal pacesso de sao bernardo, na sao bernardo do campo?"
165EX1,RIO GRANDE DA SERRA (CENTRO),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),como eu faco pra chegar no terminal paco saindo do rio grande da serra?
166,ARUJA (CENTRO),SAO PAULO (METRO ARMENIA),como eu faco pra ir do centro de arju ate o metro armenia?
166BI1,GUARULHOS (JARDIM ALAMO),SAO PAULO (METRO ARMENIA),como eu faco pra chegar em sao paulo saindo de guarulhos?
167,GUARULHOS (VILA CARMELA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar de vila carmela ate o metro armenia?"
167PR1,GUARULHOS (PARQUE RESIDENCIAL BAMBI),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar no parque residencial bambi saindo de guarulhos?"
170,SAO CAETANO DO SUL (ESTACAO),SAO PAULO (JARDIM TIETE),"oi, como eu faco pra sair de sao caetano do sul em direcao a sao paulo?"
171,SAO CAETANO DO SUL (ESTACAO),SAO PAULO (VILA INDUSTRIAL),como eu faco pra ir de sao caetano do sul ate a vila industrial?
173,SANTO ANDRE (JARDIM SANTA CRISTINA),SAO PAULO (JARDIM PLANALTO),como eu faco pra chegar em sao paulo saindo de santo andre?
175,GUARULHOS (COCAIA),SAO PAULO (METRO ARMENIA),como eu faco pra chegar no sao paulo saindo de guarulhos?
177,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),"oi, como eu faco pra sair do terminal rodoviario de ribeirao pires e chegar no terminal metropolitano santo andre?"
178,EMBU DAS ARTES (JARDIM VAZAME),SAO PAULO (METRO CAMPO LIMPO),"oi, como eu faco pra ir de embu das artes ate o metro campo limpo?"
178BI1,EMBU DAS ARTES (JARDIM NOSSA SENHORA DE FATIMA),SAO PAULO (METRO CAMPO LIMPO),"oi, como eu faco pra chegar em sao paulo saindo do embuas das artes?"
180,OSASCO (JARDIM PRIMEIRO DE MAIO),SAO PAULO (LAPA),"oi, como eu faco pra chegar em sao paulo saindo de osasco?"
180DV1,OSASCO (JARDIM PRIMEIRO DE MAIO),SAO PAULO (LAPA),como eu faco pra ir do jardim primeiro de maio pra sao paulo?
180DV2,OSASCO (JARDIM PRIMEIRO DE MAIO),SAO PAULO (LAPA),como eu faco pra ir do jardim primeiro de maio pra sao paulo?
181,CARAPICUIBA (PARQUE SANTA TEREZA),SAO PAULO (LAPA),como eu faco pra ir do parque santa teresa ate sao paulo?
182,SAO BERNARDO DO CAMPO (ACAMPAMENTO DOS ENGENHEIROS),DIADEMA (TERMINAL METROPOLITANO DIADEMA),"oi, como eu faco pra chegar em diadema saindo de acampamento dos engenheiros?"
187,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (CAMPOS ELISEOS),"oi, como eu faco pra chegar no terminal rodoviario seguime aiacyda em sao paulo?"
190,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO BUTANTA),"oi, tudo bem? preciso saber como chego de taboao da serra ate sao paulo, ta ligado?"
191,TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO VILA SONIA),como eu faco pra chegar em sao paulo saindo do taboao da serra?
193,EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO),como eu faco pra chegar em sao paulo saindo de embu das artes (jardim santa teresa)?
194,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),"oi, como eu faco pra chegar do terminal rodoaviario nicolau delic em santo andre?"
195,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),"oi, como eu faco pra sair do terminal ferroazul e ir pra diadia?"
196,SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),"oi, como eu faco pra ir do parque selecta ate o terminal metropolitano santo andre-oeste?"
197,FRANCISCO MORATO (PARQUE PAULISTA),SAO PAULO (LAPA),"oi, como eu faco pra chegar do parque paulista em sao paulo ate sao paulo?"
198,CAIEIRAS (LARANJEIRAS),SAO PAULO (LAPA),"oi, como eu faco pra chegar em sao paulo saindo de caieiras, faz favor?"
199,FRANCO DA ROCHA (JARDIM LUCIANA),SAO PAULO (PERUS),"oi, como eu faco pra ir do jardim luciania em franco da rocha ate sao paulo?"
200,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, to no terminal rodoviario geraldo scavone em mogi das cruzes e quero saber como chegar ao terminal rodoviario tiete."
